0.160300925374030.000000447847000000000 1962-06-220000000000000.16059027
0.159143522381780.000000461565000000001 1962-06-250000000000000.16550925
0.164930552244180.000000459951000000000 1962-06-260000000000000.16493055
0.162037029862400.000000451882000000000 1962-06-270000000000000.16203702
0.162037029862400.000000474476000000000 1962-06-280000000000000.17013889
0.174189820885650.000000501105000000000 1962-06-2900000000000000.1796875
0.176504626870150.000000508367000000007 1962-07-020000000000000.18229167
0.178240746259680.000000506753000000000 1962-07-030000000000000.18171297
0.179398149251930.000000508367000000000 1962-07-050000000000000.18229167
0.174768522381780.000000487387000000000 1962-07-060000000000000.17476852
0.177083328366270.000000493842000000000 1962-07-090000000000000.17708332
0.178240746259680.000000497070000000000 1962-07-100000000000000.17824074
0.172453701496120.000000485773000000000 1962-07-110000000000000.17418982
0.175925925374030.000000498684000000000 1962-07-120000000000000.17881944
0.175925925374030.000000505139000000000 1962-07-130000000000000.18113425
0.177662029862400.000000495456000000000 1962-07-160000000000000.17766202
0.177662029862400.000000495456000000000 1962-07-170000000000000.17766202
0.174189820885650.000000485773000000000 1962-07-180000000000000.17418982
0.172453701496120.000000480932000000000 1962-07-190000000000000.17245370
0.172453701496120.000000480932000000000 1962-07-200000000000000.17245370
0.170717597007750.000000476090000000000 1962-07-230000000000000.17071759
0.163194447755810.000000455109000000000 1962-07-240000000000000.16319444
0.164351850748060.000000458337000000000 1962-07-250000000000000.16435185
0.166087970137590.000000472862000000000 1962-07-260000000000000.16956017
0.168981477618210.000000472862000000000 1962-07-270000000000000.16956017
0.167824074625960.000000471248000000000 1962-07-300000000000000.16898147
0.171296298503870.000000481738000000000 1962-07-310000000000000.17274305
0.172453701496120.000000480932000000000 1962-08-010000000000000.17245370
0.172453701496120.000000480932000000000 1962-08-020000000000000.17245370
0.165509253740310.000000461565000000000 1962-08-030000000000000.16550925
0.162037029862400.000000458337000000000 1962-08-060000000000000.16435185
0.162037029862400.000000453496000000000 1962-08-070000000000000.16261574
0.164930552244180.000000471248000000000 1962-08-080000000000000.16898147
0.168981477618210.000000471248000000000 1962-08-090000000000000.16898147
0.168981477618210.000000474476000000001 1962-08-100000000000000.17013889
0.168981477618210.000000471248000000000 1962-08-130000000000000.16898147
0.167245373129840.000000466406000000000 1962-08-140000000000000.16724537
0.168981477618210.000000474476000000000 1962-08-150000000000000.17013889
0.168692126870150.000000471248000000000 1962-08-160000000000000.16898147
0.168981477618210.000000472862000000000 1962-08-170000000000000.16956017
0.168402776122090.000000469634000000000 1962-08-200000000000000.16840277
0.166666671633720.000000466399000000000 1962-08-210000000000000.16666667
0.166087970137590.000000474496000000000 1962-08-220000000000000.16956017
0.167245373129840.000000472877000000000 1962-08-230000000000000.16898147
0.167245373129840.000000468018000000000 1962-08-240000000000000.16724537
0.163194447755810.000000456682000000000 1962-08-270000000000000.16319444
0.162037029862400.000000455063000000000 1962-08-280000000000000.16261574
0.162326395511620.000000454253000000000 1962-08-290000000000000.16232639
0.162326395511620.000000454253000000000 1962-08-300000000000000.16232639
0.163194447755810.000000458302000000000 1962-08-310000000000000.16377314
0.163773149251930.000000459921000000000 1962-09-040000000000000.16435185
0.162037029862400.000000453443000000000 1962-09-050000000000000.16203702
0.162326395511620.000000458302000000000 1962-09-060000000000000.16377314
0.163194447755810.000000458302000000000 1962-09-070000000000000.16377314
0.160300925374030.000000459921000000000 1962-09-100000000000000.16435185
0.162037029862400.000000453443000000000 1962-09-110000000000000.16203702
0.162037029862400.000000461541000000000 1962-09-120000000000000.16493055
0.163194447755810.000000456682000000000 1962-09-130000000000000.16319444
0.163194447755810.000000456682000000000 1962-09-140000000000000.16319444
0.162037029862400.000000454253000000000 1962-09-170000000000000.16232639
0.162037029862400.000000456682000000000 1962-09-180000000000000.16319444
0.162037029862400.000000464780000000000 1962-09-190000000000000.16608797
0.164351850748060.000000464780000000000 1962-09-200000000000000.16608797
0.164351850748060.000000459921000000000 1962-09-210000000000000.16435185
0.162037029862400.000000454253000000000 1962-09-240000000000000.16232639
0.160879626870150.000000455063000000000 1962-09-250000000000000.16261574
0.160011574625960.000000447776000000000 1962-09-260000000000000.16001157
0.157407402992240.000000440488000000000 1962-09-270000000000000.15740740
0.157407402992240.000000445346000000000 1962-09-280000000000000.15914352
0.157407402992240.000000440488000000000 1962-10-010000000000000.15740740
0.157986104488370.000000442107000000000 1962-10-020000000000000.15798610
0.158564820885650.000000443727000000000 1962-10-030000000000000.15856482
0.158564820885650.000000445346000000000 1962-10-040000000000000.15914352
0.157986104488370.000000442107000000000 1962-10-050000000000000.15798610
0.158564820885650.000000443727000000000 1962-10-080000000000000.15856482
0.157986104488370.000000449395000000000 1962-10-090000000000000.16059027
0.159722223877900.000000446966000000000 1962-10-100000000000000.15972222
0.157407402992240.000000440488000000000 1962-10-110000000000000.15740740
0.157696753740310.000000443727000000000 1962-10-120000000000000.15856482
0.158564820885650.000000443727000000000 1962-10-150000000000000.15856482
0.158564820885650.000000445346000000000 1962-10-160000000000000.15914352
0.158564820885650.000000443727000000000 1962-10-170000000000000.15856482
0.157986104488370.000000442107000000000 1962-10-180000000000000.15798610
0.152199074625960.000000427533000000000 1962-10-190000000000000.15277777
0.148148149251930.000000419435000000000 1962-10-220000000000000.14988425
0.142361104488370.000000398382000000000 1962-10-230000000000000.14236110
0.142361104488370.000000414577000000000 1962-10-240000000000000.14814814
0.146412029862400.000000411338000000000 1962-10-250000000000000.14699074
0.148148149251930.000000414577000000000 1962-10-260000000000000.14814814
0.151620373129840.000000427533000000000 1962-10-290000000000000.15277777
0.154513895511620.000000441298000000000 1962-10-300000000000000.15769675
0.157407402992240.000000440488000000000 1962-10-310000000000000.15740740
0.155092597007750.000000440488000000000 1962-11-010000000000000.15740740
0.158564820885650.000000446966000000000 1962-11-020000000000000.15972222
0.158564820885650.000000443727000000000 1962-11-050000000000000.15856482
0000000000.156250.000000437249000000000 1962-11-070000000000000000.15625
0000000000.156250.000000448585000000000 1962-11-080000000000000.16030092
0.161458328366270.000000451824000000000 1962-11-090000000000000.16145832
0.162037029862400.000000456682000000000 1962-11-120000000000000.16319444
0.164351850748060.000000459921000000001 1962-11-130000000000000.16435185
0.164351850748060.000000459921000000000 1962-11-140000000000000.16435185
0.160879626870150.000000450205000000000 1962-11-150000000000000.16087962
0.158564820885650.000000447776000000000 1962-11-160000000000000.16001157
0.160300925374030.000000449395000000000 1962-11-190000000000000.16059027
0.160879626870150.000000450205000000000 1962-11-200000000000000.16087962
0.159143522381780.000000454271000000000 1962-11-210000000000000.16174767
0.160011574625960.000000456710000000000 1962-11-230000000000000.16261574
0.163194447755810.000000468086000000001 1962-11-260000000000000.16666667
0.167824074625960.000000474588000000000 1962-11-270000000000000.16898147
0.168402776122090.000000489216000000000 1962-11-280000000000000.17418982
000000000.1718750.000000487590000000000 1962-11-290000000000000.17361110
000000000.1718750.000000487590000000000 1962-11-300000000000000.17361110
0.170717597007750.000000479464000000000 1962-12-030000000000000.17071759
0.170717597007750.000000482714000000000 1962-12-04000000000000000.171875
000000000.1718750.000000482714000000000 1962-12-05000000000000000.171875
0.171296298503870.000000484339000000000 1962-12-060000000000000.17245370
000000000.1718750.000000490841000000000 1962-12-070000000000000.17476852
0.172453701496120.000000484339000000000 1962-12-100000000000000.17245370
0.171296298503870.000000481089000000000 1962-12-110000000000000.17129629
0.172453701496120.000000485965000000000 1962-12-120000000000000.17303240
0.171296298503870.000000481089000000000 1962-12-130000000000000.17129629
0.171296298503870.000000487590000000000 1962-12-140000000000000.17361110
0.171296298503870.000000481089000000000 1962-12-170000000000000.17129629
0.169560179114340.000000479464000000000 1962-12-180000000000000.17071759
0.169560179114340.000000487590000000000 1962-12-190000000000000.17361110
000000000.1718750.000000486778000000000 1962-12-200000000000000.17332175
0.171296298503870.000000481089000000000 1962-12-210000000000000.17129629
0.171296298503870.000000482714000000000 1962-12-24000000000000000.171875
000000000.1718750.000000482714000000000 1962-12-26000000000000000.171875
000000000.1718750.000000484339000000000 1962-12-270000000000000.17245370
0.171296298503870.000000485965000000000 1962-12-280000000000000.17303240
0.169560179114340.000000476213000000000 1962-12-310000000000000.16956017
0.170138895511620.000000485965000000000 1963-01-020000000000000.17303240
0.170717597007750.000000482714000000000 1963-01-03000000000000000.171875
0.173321753740310.000000498968000000000 1963-01-040000000000000.17766202
0.177662029862400.000000503843000000000 1963-01-070000000000000.17939814
0.178240746259680.000000500592000000000 1963-01-080000000000000.17824074
0.178240746259680.000000500592000000000 1963-01-090000000000000.17824074
0.177083328366270.000000497342000000000 1963-01-100000000000000.17708332
0.175925925374030.000000500592000000000 1963-01-110000000000000.17824074
