17.639999389648415.74056625366000000001 2007-09-2018.17000007617.7199993
17.459999084472615.59843730926000000001 2007-09-2118.19000053417.5599994
16.010000228881814.23935222625000000005 2007-09-2417.52000045716.0300006
15.899999618530215.17205619812000000003 2007-09-2500000000001617.0799999
16.950000762939415.87380695343000000004 2007-09-2617.14999961817.8700008
17.569999694824215.82939052581000000001 2007-09-2717.93000030517.8199996
17.270000457763615.94487476348000000001 2007-09-2817.60000038117.9500007
17.809999465942316.18470764160000000002 2007-10-0100000000001818.2199993
18.370000839233416.85981559753000000002 2007-10-0218.39999961818.9799995
18.510000228881817.12630271911000000003 2007-10-0319.03000068619.2800006
18.399999618530216.53114891052000000004 2007-10-0419.12000083918.6100006
18.629999160766617.04635429382000000003 2007-10-0518.62999916019.1900005
19.110000610351517.30396080017000000001 2007-10-0819.12000083919.4799995
19.209999084472617.40167617797000000001 2007-10-0919.42000007619.5900001
19.219999313354417.43720626831000000002 2007-10-10000000019.2519.6299991
19.239999771118117.22401809692000000002 2007-10-1119.63999938919.3899993
19.079999923706017.73033714294000000002 2007-10-12000000019.2519.9599990
19.170000076293917.76587104797000000003 2007-10-1519.7800006860000000020
19.299999237060517.83694076538000000007 2007-10-16000000020.2520.0799999
20.030000686645518.12119483947000000005 2007-10-1720.36000061020.3999996
19.790000915527317.73033714294000000002 2007-10-1820.35000038119.9599990
19.489999771118117.32172966003000000002 2007-10-1920.04000091500000019.5
19.200000762939417.76587104797000000003 2007-10-2219.2099990840000000020
20.100000381469718.49427223205000000005 2007-10-2320.18000030520.8199996
20.469999313354418.28108596801000000003 2007-10-2420.72999954220.5799999
19.850000381469717.81916809082000000002 2007-10-2520.39999961820.0599994
19.409999847412117.53491783142000000002 2007-10-26000000020.2519.7399997
00000000000019.517.63263320922000000001 2007-10-2919.59000015219.8500003
19.899999618530218.36991500854000000003 2007-10-3019.90999984720.6800003
19.940000534057618.47650718688000000004 2007-10-3120.02000045720.7999992
20.149999618530217.94352912902000000002 2007-11-0120.45000076220.2000007
19.680000305175717.70369338989000000001 2007-11-0220.21999931319.9300003
19.270000457763617.33061218261000000001 2007-11-0519.79999923719.5100002
18.120000839233416.44231796264000000003 2007-11-060000000019.518.5100002
16.959999084472615.50072765350000000006 2007-11-0718.46999931317.4500007
16.200000762939415.10099029541000000007 2007-11-0817.4500007620000000017
16.399999618530214.65684509277000000003 2007-11-090000000016.500000016.5
16.770000457763615.88269424438000000004 2007-11-1216.87999916017.8799991
18.079999923706016.65550422668000000003 2007-11-1318.3299999230000018.75
17.870000839233417.33949279785000000017 2007-11-1418.70000076219.5200004
19.159999847412117.62374305725000000008 2007-11-1519.52000045719.8400001
19.260000228881817.73922538757000000006 2007-11-1619.90999984719.9699993
18.889999389648416.88646507263000000003 2007-11-190000000019.519.0100002
17.030000686645515.50072765350000000005 2007-11-2018.72999954217.4500007
16.270000457763615.90933895111000000004 2007-11-2117.10000038117.9099998
18.040000915527316.12252998352000000001 2007-11-23000000018.2518.1499996
17.270000457763615.52737617492000000002 2007-11-2618.35000038117.4799995
0000000000017.2515.59843730926000000002 2007-11-2718.20000076217.5599994
17.450000762939416.67327690124000000005 2007-11-2817.67000007618.7700004
18.120000839233416.54890823364000000003 2007-11-2918.69000053418.6299991
19.079999923706017.55268478393000000006 2007-11-3019.18000030519.7600002
18.940000534057617.39279174804000000002 2007-12-03000000019.7519.5799999
17.860000610351516.53114891052000000006 2007-12-0418.64999961818.6100006
18.219999313354416.25576782226000000002 2007-12-0518.64999961818.2999992
18.200000762939416.32683753967000000002 2007-12-0618.31999969418.3799991
00000000000018.516.61109733581000000004 2007-12-070000000018.518.7000007
18.100000381469716.20248222351000000002 2007-12-1018.86000061018.2399997
16.959999084472615.12764453887000000003 2007-12-1118.34000015217.0300006
14.829999923706013.98174285888000000007 2007-12-1217.20000076215.7399997
14.939999580383313.63530731201000000006 2007-12-1315.55000019015.3500003
14.449999809265113.85737895965000000004 2007-12-1415.56000041915.6000003
00000000000014.512.90690803527000000004 2007-12-1715.60999965614.5299997
14.109999656677212.58712291717000000005 2007-12-1814.69999980914.1700000
14.039999961853013.09345054626000000002 2007-12-1914.27999973214.7399997
14.069999694824212.77366447448000000003 2007-12-20000000014.7514.3800001
14.119999885559013.39546775817000000003 2007-12-2114.36999988515.0799999
14.689999580383313.42211437225000000001 2007-12-2415.10000038115.1099996
14.470000267028813.12897872924000000001 2007-12-2615.01000022814.7799997
14.199999809265112.80919551849000000003 2007-12-2714.72999954214.4200000
14.279999732971112.96909141540000000002 2007-12-2814.46000003814.6000003
00000000000014.513.22669315338000000002 2007-12-3114.64000034314.8900003
13.579999923706012.24956989288000000006 2008-01-0214.72999954213.7899999
00000000000013.512.12520790100000000007 2008-01-0313.68999958013.6499996
12.659999847412111.87648677825000000007 2008-01-0413.39000034313.3699998
12.810000419616711.89425373077000000004 2008-01-0713.43000030513.3900003
00000000000011.510.45521736145000000009 2008-01-0813.30000019011.7700004
