35.909999847412136.18999862670000000005 2015-11-1936.45000076236.1899986
35.919998168945336.36000061035000000004 2015-11-2036.45000076236.3600006
35.409999847412135.56000137329000000006 2015-11-230000000036.535.5600013
34.880001068115235.11999893188000000008 2015-11-24000000035.2535.1199989
35.130001068115235.36000061035000000003 2015-11-2535.20000076235.3600006
35.060001373291035.18000030517000000002 2015-11-2735.52000045735.1800003
34.689998626708935.25999832153000000009 2015-11-3035.36000061035.2599983
33.849998474121035.16999816894000000014 2015-12-0135.40999984735.1699981
34.930000305175735.15000152587000000005 2015-12-0235.22999954235.1500015
33.849998474121034.22999954223000000007 2015-12-0335.20000076234.2299995
34.220001220703135.61999893188000000010 2015-12-0434.38000106835.6199989
34.849998474121035.15999984741000000004 2015-12-0735.70999908435.1599998
34.520000457763635.59999847412000000007 2015-12-0834.63000106835.5999984
34.830001831054635.06999969482000000007 2015-12-0935.38999938935.0699996
35.159999847412135.49000167846000000006 2015-12-1035.15999984735.4900016
34.419998168945334.68999862670000000008 2015-12-1135.15000152534.6899986
34.330001831054635.00999832153000000005 2015-12-1434.61000061035.0099983
35.180000305175736.31999969482000000011 2015-12-1535.18999862636.3199996
35.189998626708935.97999954223000000007 2015-12-1636.11999893135.9799995
35.509998321533235.54000091552000000006 2015-12-1700000000003635.5400009
34.729999542236334.97999954223000000013 2015-12-1835.34999847434.9799995
35.110000610351536.08000183105000000005 2015-12-2135.20999908436.0800018
35.779998779296836.80500030517000000006 2015-12-2236.11999893136.8050003
36.770000457763637.11000061035000000007 2015-12-2336.79000091537.1100006
36.819999694824237.06999969482000000002 2015-12-2437.00999832137.0699996
0000000000036.2536.61000061035000000004 2015-12-2836.70000076236.6100006
0000000000036.7537.08000183105000000003 2015-12-2936.91999816837.0800018
36.459999084472636.47999954223000000004 2015-12-3037.06999969436.4799995
36.050998687744136.20000076293000000004 2015-12-3136.29999923736.2000007
34.279998779296800000000034.75000000012 2016-01-0435.1300010680000034.75
33.860000610351534.31000137329000000011 2016-01-0534.97999954234.3100013
33.209999084472633.97999954223000000008 2016-01-0633.70000076233.9799995
