46.169998168945333.87137222290000000004 2013-05-2146.18999862646.5400009
45.849998474121034.03147888183000000005 2013-05-2246.45999908446.7599983
46.020000457763633.90776443481000000003 2013-05-2346.11999893146.5900001
45.310001373291033.07080459594000000004 2013-05-24000000046.2545.4399986
44.700000762939433.03441238403000000006 2013-05-2845.88999938945.3899993
43.790000915527331.93544769287000000006 2013-05-2944.88999938943.8800010
44.069999694824232.42306518554000000004 2013-05-3044.06999969444.5499992
42.680000305175731.06938552856000000009 2013-05-3144.27000045742.6899986
0000000000042.7531.55700683593000000007 2013-06-0342.88000106843.3600006
43.380001068115231.75349807739000000004 2013-06-0443.41999816843.6300010
42.689998626708931.32411003112000000004 2013-06-0543.49000167843.0400009
42.650001525878931.65889167785000000004 2013-06-0643.22000122000000043.5
00000000000043.532.02277755737000000005 2013-06-0743.7200012200000000044
43.220001220703131.96456909179000000004 2013-06-1044.33000183143.9199981
43.049999237060531.72439384460000000003 2013-06-1143.31000137343.5900001
42.720001220703131.12761306762000000003 2013-06-1243.90999984742.7700004
40.099998474121031.40416336059000000006 2013-06-1342.41999816843.1500015
00000000000042.531.44783020019000000004 2013-06-1442.97999954243.2099990
42.680000305175731.30226898193000000003 2013-06-1743.40000152543.0099983
42.630001068115231.68800735473000000003 2013-06-1842.97000122043.5400009
43.009998321533231.32411003112000000003 2013-06-1943.56000137343.0400009
40.909999847412129.88307952880000000007 2013-06-2042.65000152541.0600013
41.200000762939431.01843643188000000009 2013-06-2141.65999984742.6199989
41.319999694824230.48715400695000000006 2013-06-2442.06999969441.8899993
41.610000610351531.02571868896000000004 2013-06-2542.15000152542.6300010
43.029998779296831.57155036926000000004 2013-06-2643.09999847443.3800010
42.740001678466831.38960838317000000005 2013-06-2743.56000137343.1300010
41.319999694824230.08686637878000000010 2013-06-2842.52999877941.3400001
41.069999694824230.28336524963000000004 2013-07-0141.40000152541.6100006
41.580001831054630.72004127502000000004 2013-07-0241.58000183142.2099990
41.610000610351530.73459053039000000002 2013-07-0341.88000106842.2299995
42.310001373291031.09121894836000000002 2013-07-0542.45000076242.7200012
42.819999694824231.78989982604000000003 2013-07-0842.90000152543.6800003
0000000000043.2531.52788352966000000003 2013-07-0900000000004443.3199996
43.360000610351531.95728302001000000003 2013-07-1043.36000061043.9099998
43.330001831054632.15559387207000000004 2013-07-1143.93999862643.7799987
43.799999237060533.08840942382000000005 2013-07-1243.93000030545.0499992
44.540000915527332.77256011962000000003 2013-07-1544.95000076244.6199989
43.700000762939432.17762756347000000003 2013-07-1644.54000091543.8100013
43.740001678466832.28779983520000000003 2013-07-1743.97000122043.9599990
43.810001373291032.55221939086000000003 2013-07-1843.95999908444.3199996
44.119998931884732.69911193847000000004 2013-07-1944.49000167844.5200004
43.799999237060533.02962875366000000003 2013-07-2244.29999923744.9700012
44.229999542236332.54487609863000000003 2013-07-2344.91999816844.3100013
43.389999389648432.05277252197000000003 2013-07-2444.27999877943.6399993
43.349998474121032.49346542358000000004 2013-07-2543.40999984744.2400016
44.169998168945332.89742660522000000004 2013-07-2645.00999832144.7900009
44.470001220703133.09572982788000000004 2013-07-2944.72000122045.0600013
44.200000762939432.83131790161000000003 2013-07-3045.08000183144.7000007
44.810001373291033.40421676635000000006 2013-07-3144.84000015245.4799995
45.040000915527333.23527526855000000003 2013-08-0145.1399993890000045.25
44.810001373291033.28668975830000000003 2013-08-0245.11000061045.3199996
44.479999542236332.83865737915000000002 2013-08-0545.04999923744.7099990
44.419998168945332.96352767944000000004 2013-08-0644.41999816844.8800010
44.220001220703132.73583984375000000003 2013-08-0744.70000076244.5699996
44.610000610351533.09572982788000000002 2013-08-0844.86000061045.0600013
44.470001220703132.83865737915000000003 2013-08-0944.90000152544.7099990
44.389999389648433.08103942871000000003 2013-08-1244.70999908445.0400009
44.680000305175733.00024795532000000002 2013-08-1345.11999893144.9300003
44.450000762939432.74318313598000000002 2013-08-1444.84999847444.5800018
43.130001068115231.73693656921000000004 2013-08-1544.59999847443.2099990
42.419998168945331.58269119262000000006 2013-08-1642.9399986260000000043
42.950000762939431.85445785522000000003 2013-08-1943.00999832143.3699989
42.849998474121031.56066513061000000002 2013-08-2043.29000091542.9700012
0000000000042.2531.07590866088000000004 2013-08-2142.81999969442.3100013
42.290000915527331.52393341064000000004 2013-08-2242.40000152542.9199981
42.849998474121031.89852905273000000002 2013-08-2343.00999832143.4300003
43.189998626708931.91320991516000000003 2013-08-2643.43000030543.4500007
42.599998474121031.31094551086000000004 2013-08-2743.02000045742.6300010
42.349998474121031.25952148437000000003 2013-08-2842.52999877942.5600013
42.259998321533231.30359840393000000002 2013-08-2942.31999969442.6199989
42.299999237060531.29625320434000000003 2013-08-3042.75999832142.6100006
42.310001373291031.28156280517000000002 2013-09-0300000000004342.5900001
42.590000152587831.67818260192000000003 2013-09-0442.59999847443.1300010
000000000000004331.95728302001000000003 2013-09-0543.02999877943.5099983
42.889999389648432.23638916015000000003 2013-09-0643.52999877943.8899993
00000000000043.532.63299942016000000003 2013-09-0943.88000106844.4300003
44.099998474121032.89007568359000000004 2013-09-1044.58000183144.7799987
44.389999389648433.01494598388000000003 2013-09-1144.81000137344.9500007
00000000000044.532.83131790161000000002 2013-09-1244.84000015244.7000007
44.430000305175732.97086334228000000002 2013-09-1344.70999908444.8899993
45.189998626708933.65393447875000000003 2013-09-1645.31999969445.8199996
45.860000610351534.96131134033000000007 2013-09-1745.91999816847.5999984
46.880001068115235.19633865356000000006 2013-09-1847.18999862647.9199981
47.310001373291034.81441879272000000005 2013-09-1948.20999908447.4000015
47.330001831054635.13759613037000000010 2013-09-2047.43999862647.8400001
46.930000305175734.59406661987000000003 2013-09-2347.56000137347.0999984
45.939998626708933.77145767211000000007 2013-09-2446.95000076245.9799995
45.020000457763633.29404830932000000004 2013-09-2546.09000015245.3300018
