0.092908389866350.035517245531000000000 1962-01-020.09290838980.09290838
0.092908389866350.035993970930000000000 1962-01-030.09290838980.09415547
0.093531928956500.035993970930000000000 1962-01-040.09415547540.09415547
0.093843705952160.036113176494000000000 1962-01-050.09415547540.09446725
0.092284843325610.035993970930000000001 1962-01-080.09446725240.09415547
0.093531928956500.036709103733000000000 1962-01-090.09415547540.09602611
0.096026115119450.037066638469000000000 1962-01-100.09602611510.09696143
0.096649661660190.038139320909000000001 1962-01-110.09696143860.09976739
0.095402568578720.036947462707000000001 1962-01-120.09976739430.09664966
0.096026115119450.036947462707000000000 1962-01-150.09664966160.09664966
0.093531928956500.035993970930000000000 1962-01-160.09602611510.09415547
0.091037750244140.034802112728000000000 1962-01-170.09415547540.09103775
0.091661296784870.035517245531000000000 1962-01-180.09166129670.09290838
0.093531928956500.036232355982000000000 1962-01-190.09353192890.09477902
0.095402568578720.036828305572000000000 1962-01-220.09540256850.09633789
0.095402568578720.036709103733000000001 1962-01-230.09633789210.09602611
0.093531928956500.036232355982000000000 1962-01-240.09602611510.09477902
0.093531928956500.035755608230000000000 1962-01-250.09477902200.09353192
0.092908389866350.035517245531000000000 1962-01-260.09353192890.09290838
0.092908389866350.035517245531000000000 1962-01-290.09290838980.09290838
0.092284843325610.035755608230000000000 1962-01-300.09290838980.09353192
0.092908389866350.035755608230000000000 1962-01-310.09353192890.09353192
0.093531928956500.036232355982000000001 1962-02-010.09353192890.09477902
0.094779022037980.036232355982000000000 1962-02-020.09477902200.09477902
0.094779022037980.036232355982000000000 1962-02-050.09477902200.09477902
0.094155475497240.035993970930000000000 1962-02-060.09477902200.09415547
0.094779022037980.036470718681000000001 1962-02-070.09477902200.09540256
0.096649661660190.037424221634000000002 1962-02-080.09664966160.09789675
0.098208531737320.037662591785000000001 1962-02-090.09820853170.09852030
0.097896754741660.037662591785000000000 1962-02-120.09852030120.09852030
0.097273208200930.037662591785000000000 1962-02-130.09852030120.09852030
0.097273208200930.037185836583000000000 1962-02-140.09820853170.09727320
0.097584985196590.037424221634000000000 1962-02-150.09758498510.09789675
0.098520301282400.038139320909000000003 1962-02-160.09852030120.09976739
0.098208531737320.037543412297000000000 1962-02-190.09976739430.09820853
0.098832078278060.037900976836000000000 1962-02-200.09883207820.09914384
0.097896754741660.037424221634000000000 1962-02-210.09852030120.09789675
0.097273208200930.037185836583000000000 1962-02-230.09789675470.09727320
0.093531928956500.036232355982000000000 1962-02-260.09602611510.09477902
0.094155475497240.035993970930000000000 1962-02-270.09477902200.09415547
0.093220159411430.035636425018000000000 1962-02-280.09415547540.09322015
0.093531928956500.036589901894000000000 1962-03-010.09353192890.09571434
0.095090799033640.036351535469000000000 1962-03-020.09571434550.09509079
0.095402568578720.036470718681000000000 1962-03-050.09540256850.09540256
0.094155475497240.035993970930000000000 1962-03-060.09540256850.09415547
0.093531928956500.035755608230000000000 1962-03-070.09353192890.09353192
0.093220159411430.036351535469000000000 1962-03-080.09353192890.09509079
0.094779022037980.036232355982000000000 1962-03-090.09509079900.09477902
0.095090799033640.036947462707000000000 1962-03-120.09509079900.09664966
0.096649661660190.037640757858000000000 1962-03-130.09664966160.09820853
0.097273208200930.037282280623000000000 1962-03-140.09820853170.09727320
0.097273208200930.037521280348000000000 1962-03-150.09727320820.09789675
0.097584985196590.037521280348000000000 1962-03-160.09789675470.09789675
0.097896754741660.037521280348000000000 1962-03-190.09789675470.09789675
0.096649661660190.037043292075000000000 1962-03-200.09727320820.09664966
0.095090799033640.036445830017000000000 1962-03-210.09633789210.09509079
0.094155475497240.036087326705000000000 1962-03-220.09477902200.09415547
0.094155475497240.036087326705000000000 1962-03-230.09415547540.09415547
0.093531928956500.035848334431000000000 1962-03-260.09415547540.09353192
