0.095486111938950.062609083950000000012 1986-08-040.09809027610.09809027
0.097222223877900.062055002897000000002 1986-08-050.09809027610.09722222
0.094618052244180.061500951647000000018 1986-08-060.09722222380.09635416
0.094618052244180.060946874320000000003 1986-08-070.09635416410.09548611
0.095486111938950.061500951647000000004 1986-08-080.09548611190.09635416
0.098090276122090.063717216253000000007 1986-08-110.09809027610.09982638
0.099826388061040.065379425883000000009 1986-08-120.09982638800.10243055
00000000.10156250.065933443605000000006 1986-08-130.10243055220.10329861
0.103298611938950.067595638334000000020 1986-08-140.10329861190.10590277
0.105034723877900.067872665822000000006 1986-08-150.10590277610.10633680
0.105034723877900.067041605710000000012 1986-08-180.10633680220.10503472
0.103298611938950.067041605710000000020 1986-08-190.10503472380.10503472
0.104166664183130.066487520933000000020 1986-08-200.10503472380.10416666
0.104166664183130.066487520933000000049 1986-08-210.10416666410.10416666
0.100694447755810.065379425883000000005 1986-08-220.10416666410.10243055
0.100694447755810.065379425883000000002 1986-08-250.10243055220.10243055
00000000.10156250.064825341105000000010 1986-08-260.102430552200.1015625
0.100694447755810.064825341105000000009 1986-08-270000.101562500.1015625
00000000.10156250.064825341105000000003 1986-08-280000.101562500.1015625
0.097222223877900.063163131475000000025 1986-08-290000.10156250.09895833
0.095052085816860.061500951647000000005 1986-09-020.09895833580.09635416
0.091145835816860.059838779270000000018 1986-09-030.09548611190000.09375
0.095486111938950.064825341105000000039 1986-09-040.095486111900.1015625
0.100694447755810.067595638334000000026 1986-09-050000.10156250.10590277
0.105034723877900.067041605710000000009 1986-09-080.10590277610.10503472
0.105034723877900.068149708211000000037 1986-09-090.10503472380.10677083
0.105034723877900.067041605710000000010 1986-09-100.10677083580.10503472
0.100694447755810.064271286129000000035 1986-09-110.10503472380.10069444
0.098090276122090.062609083950000000024 1986-09-120.10069444770.09809027
0.096354164183130.063717216253000000022 1986-09-150.09809027610.09982638
0.098090276122090.063717216253000000005 1986-09-160.09982638800.09982638
0.098958335816860.065379425883000000008 1986-09-170.09982638800.10243055
0.102430552244180.065933443605000000005 1986-09-180.10243055220.10329861
0.102430552244180.065933443605000000002 1986-09-190.10329861190.10329861
0.102430552244180.065379425883000000004 1986-09-220.10329861190.10243055
0.102430552244180.066487520933000000005 1986-09-230.10243055220.10416666
0.102430552244180.065656431019000000004 1986-09-240.10416666410.10286458
0.100694447755810.064271286129000000005 1986-09-250.10286458580.10069444
0.099826388061040.064271286129000000002 1986-09-260.10069444770.10069444
0.098090276122090.062609083950000000006 1986-09-290.10069444770.09809027
0.098090276122090.062609083950000000005 1986-09-300.09809027610.09809027
0.095486111938950.062055002897000000032 1986-10-010.09809027610.09722222
0.096354164183130.062055002897000000022 1986-10-020.09722222380.09722222
0.097222223877900.062609083950000000014 1986-10-030.09722222380.09809027
0.100694447755810.067595638334000000085 1986-10-060.10069444770.10590277
0.105902776122090.068980820477000000059 1986-10-070.10590277610.10807291
0.106770835816860.070920027792000000119 1986-10-080.10807291410.11111111
0.111111111938950.073136292397000000092 1986-10-090.11111111190.11458333
0.112847223877900.076460652053000000076 1986-10-100.11458333580.11979166
0.114583335816860.073136292397000000027 1986-10-130.11979166410.11458333
0.115451388061040.074244409799000000012 1986-10-140.11545138800.11631944
0.116319447755810.077568747103000000063 1986-10-150.11631944770.12152777
0.120659723877900.077568747103000000021 1986-10-160.12152777610.12152777
0.121527776122090.079785041511000000124 1986-10-170.1215277761000000.125
0.122395835816860.080339051783000000043 1986-10-2000000000.1250.12586805
0.126736104488370.083663493394000000112 1986-10-210.12673610440.13107639
0.130208328366270.083663493394000000054 1986-10-220.13107639550.13107639
0.129774302244180.083663493394000000070 1986-10-230.13107639550.13107639
0.126736104488370.083109438419000000101 1986-10-240.13107639550.13020832
0.131076395511620.085879735648000000125 1986-10-270.13107639550.13454860
0.134548604488370.087818935513000000142 1986-10-280.13454860440.13758680
0.131944447755810.085325665771000000053 1986-10-290.13758680220.13368055
00000000.13281250.086987815797000000044 1986-10-300.13368055220.13628472
0.133680552244180.085879735648000000063 1986-10-310.13628472380.13454860
0.135416671633720.087541915476000000042 1986-11-030.13541667160.13715277
0.137152776122090.090866252779000000054 1986-11-040.13715277610.14236110
0.141493052244180.096406906843000000045 1986-11-050.14236110440.15104167
0.150173604488370.098623149096000000072 1986-11-060.15104167160.15451389
0.151041671633720.098069049417000000044 1986-11-070.15451389550.15364582
0.146701395511620.094190642237000000028 1986-11-100.15364582830.14756944
00000000.14843750.094744719564000000011 1986-11-110000.148437500.1484375
