0.678585708141320.001628982252000000002 1962-05-230.69110578290.68234175
0.671073734760280.001608059974000000002 1962-05-240.68234175440.67357772
0.652293682098380.001575181144000000002 1962-05-250.67357772580.65980571
0.622245609760280.001494480296000000004 1962-05-280.65730166430.62600159
0.600961565971370.001557247363000000007 1962-05-290.62600159640.65229368
0.654797673225400.001572191482000000004 1962-05-310.65479767320.65855365
0.651041686534880.001578171039000000002 1962-06-010.65855365990.66105771
0.631009638309470.001506436616000000002 1962-06-040.65980571500.63100963
0.626001596450800.001515402575000000003 1962-06-050.63100963830.63476562
0.642277657985680.001533336937000000002 1962-06-060.64227765790.64227765
0.644781649112700.001539313583000000001 1962-06-070.64478164910.64478164
0.647285640239710.001554258633000000001 1962-06-080.64728564020.65104168
0.644781649112700.001551270368000000001 1962-06-110.65104168650.64978969
0.612229585647580.001478982041000000002 1962-06-120.64227765790.61473357
0.610977590084070.001475970027000000002 1962-06-130.61473357670.61348158
0.608473539352410.001466932124000000000 1962-06-140.61348158120.60972553
0.600961565971370.001512116519000000003 1962-06-150.60972553490.62850558
0.610977590084070.001488019130000000002 1962-06-180.62725359200.61848956
0.609725534915920.001478982041000000001 1962-06-190.61848956340.61473357
0.600961565971370.001445848029000000002 1962-06-200.61222958560.60096156
0.580929458141320.001397652900000000003 1962-06-210.60096156590.58092945
0.554637432098380.001337409368000000003 1962-06-220.57842546700.55588942
0.543369412422180.001349459169000000004 1962-06-250.55588942760.56089740
0.555889427661890.001337409368000000003 1962-06-260.56089740990.55588942
0.552133440971370.001358494628000000001 1962-06-270.55588942760.56465345
0.574669480323790.001415726845000000002 1962-06-280.57466948030.58844149
0.592197537422180.001433800207000000002 1962-06-290.59219753740.59595352
0.592197537422180.001515128300000000001 1962-07-020.59595352410.62975758
0.620993614196770.001515128300000000003 1962-07-030.62975758310.62975758
0.629757583141320.001548262545000000001 1962-07-050.62975758310.64352965
0.620993614196770.001515128300000000001 1962-07-060.63726961610.62975758
0.618489563465110.001527177286000000001 1962-07-090.62975758310.63476562
0.633513629436490.001533201313000000002 1962-07-1000.6347656250.63726961
0.628505587577810.001542238518000000001 1962-07-110.63726961610.64102566
0.646033644676200.001563323778000000002 1962-07-120.64603364460.64978969
0.633513629436490.001551273628000000001 1962-07-130.64853763580.64478164
000000.6347656250.001548262545000000000 1962-07-160.64352965350.64352965
0.624749600887290.001503080246000000001 1962-07-170.64102566240.62474960
0.612229585647580.001481994986000000001 1962-07-180.62099361410.61598557
0.614733576774590.001506092376000000001 1962-07-190.61598557230.62600159
0.624749600887290.001512116519000000001 1962-07-200.62600159640.62850558
0.629757583141320.001533201313000000000 1962-07-230.62975758310.63726961
0.628505587577810.001512116519000000000 1962-07-240.63726961610.62850558
0.613481581211090.001506092376000000000 1962-07-250.62850558750.62600159
0.626001596450800.001536214724000000001 1962-07-260.62600159640.63852161
0.632261633872980.001533201313000000001 1962-07-270.63852161160.63726961
0.637269616127010.001560311531000000001 1962-07-300.63726961610.64853763
0.651041686534880.001599468989000000002 1962-07-310.65104168650.66481369
0.658553659915920.001590433763000000001 1962-08-010.66481369730.66105771
0.661057710647580.001602481468000000001 1962-08-020.66105771060.66606569
0.664813697338100.001614531152000000001 1962-08-030.66606569290.67107373
0.657301664352410.001584407524000000001 1962-08-060.66982173910.65855365
0.653545677661890.001581398304000000001 1962-08-070.65855365990.65730166
0.644781649112700.001581398304000000001 1962-08-080.65730166430.65730166
0.654797673225400.001584407524000000001 1962-08-090.65730166430.65855365
0.657301664352410.001599468989000000001 1962-08-100.65855365990.66481369
0.656049668788900.001584407524000000001 1962-08-130.66481369730.65855365
0.661057710647580.001626579673000000002 1962-08-140.66105771060.67608171
0.671073734760280.001620554830000000001 1962-08-150.67608171700.67357772
0.673577725887290.001626579673000000001 1962-08-160.67357772580.67608171
0.677333712577810.001641640206000000001 1962-08-170.67733371250.68234175
0.678585708141320.001638626796000000001 1962-08-200.68234175440.68108975
0.678585708141320.001638626796000000001 1962-08-210.68108975880.68108975
0000000.683593750.001674773753000000001 1962-08-22000.683593750.69611376
0.692357778549190.001668750541000000001 1962-08-230.69611376520.69360977
0.676081717014310.001638626796000000002 1962-08-240.69360977410.68108975
0.672325730323790.001617543864000000001 1962-08-270.68108975880.67232573
0.673577725887290.001629591570000000001 1962-08-280.67357772580.67733371
0.671073734760280.001626579673000000001 1962-08-290.67733371250.67608171
0.677333712577810.001632603816000000001 1962-08-300.67733371250.67858570
0.678585708141320.001650676480000000000 1962-08-310.67858570810.68609774
0.667317688465110.001605494413000000001 1962-09-040.68609774110.66731768
0.652293682098380.001575372298000000001 1962-09-050.66731768840.65479767
0.647285640239710.001575372298000000001 1962-09-060.65479767320.65479767
0.654797673225400.001608505961000000001 1962-09-070.65479767320.66856968
0.659805715084070.001629591570000000001 1962-09-100.66856968400.67733371
0.669821739196770.001611518906000000001 1962-09-110.67733371250.66982173
0.668569684028620.001629591570000000000 1962-09-120.66982173910.67733371
0.669821739196770.001614531152000000001 1962-09-130.67733371250.67107373
0.671073734760280.001629591570000000000 1962-09-140.67107373470.67733371
0.677333712577810.001641640206000000000 1962-09-170.67733371250.68234175
0.676081717014310.001650747377000000001 1962-09-180.68234175440.68108975
0.668569684028620.001647712895000000001 1962-09-190.68108975880.67983776
0.664813697338100.001623439020000000001 1962-09-200.67983776330.66982173
0.654797673225400.001590059953000000001 1962-09-210.66856968400.65604966
0.642277657985680.001571851898000000002 1962-09-240.65354567760.64853763
0.632261633872980.001577921444000000001 1962-09-250.64853763580.65104168
0.632261633872980.001541507430000000001 1962-09-260.64978969090.63601762
0.622245609760280.001511163078000000001 1962-09-2700.6347656250.62349760
0.620993614196770.001550612156000000001 1962-09-280.62349760530.63977366
0.631009638309470.001544542028000000001 1962-10-010.63977366680.63726961
0.636017620563500.001574886846000000000 1962-10-020.63726961610.64978969
0.646033644676200.001565783168000000001 1962-10-030.64978969090.64603364
0.636017620563500.001602196833000000001 1962-10-040.64603364460.66105771
0.663561701774590.001629507751000000001 1962-10-050.66356170170.67232573
0.673577725887290.001638610498000000001 1962-10-080.67357772580.67608171
0.671073734760280.001644680276000000001 1962-10-090.67608171700.67858570
0.667317688465110.001623439020000000001 1962-10-100.67858570810.66982173
0.658553659915920.001605231547000000001 1962-10-110.66606569290.66230970
0.656049668788900.001599161769000000000 1962-10-120.66230970620.65980571
0.657301664352410.001632542116000000001 1962-10-150.65980571500.67357772
0.673577725887290.001632542116000000001 1962-10-160.67357772580.67357772
0.663561701774590.001623439020000000001 1962-10-170.67107373470.66982173
0.666065692901610.001617368543000000001 1962-10-180.66982173910.66731768
0.651041686534880.001587024657000000002 1962-10-190.66731768840.65479767
0.644781649112700.001571851898000000002 1962-10-220.65479767320.64853763
0.639773666858670.001556681236000000002 1962-10-230.64853763580.64227765
0.636017620563500.001626473269000000002 1962-10-240.64227765790.67107373
0.652293682098380.001602196833000000002 1962-10-250.66606569290.66105771
0.659805715084070.001623439020000000001 1962-10-260.66105771060.66982173
0.672325730323790.001629507751000000001 1962-10-290.67232573030.67232573
0.672325730323790.001659851288000000001 1962-10-300.67232573030.68484574
0.673577725887290.001644680276000000001 1962-10-310.68484574550.67858570
0.672325730323790.001656817039000000001 1962-11-010.67858570810.68359375
0.676081717014310.001687161973000000002 1962-11-02000.683593750.69611376
0.693609774112700.001690196222000000002 1962-11-050.69611376520.69736576
0000000.683593750.001693230937000000002 1962-11-070.69736576080.69861781
0.693609774112700.001690196222000000001 1962-11-080.69861781590.69736576
0.697365760803220.001690196222000000000 1962-11-090.69736576080.69736576
0.716145813465110.001747851725000000002 1962-11-120.71614581340.72115385
0.716145813465110.001744816428000000001 1962-11-130.72115385530.71990185
0.714893817901610.001756955287000000002 1962-11-140.71990185970.72490984
0.721153855323790.001756955287000000001 1962-11-150.72490984200.72490984
0.714893817901610.001766058034000000002 1962-11-160.72490984200.72866588
0.718649864196770.001750887022000000001 1962-11-190.72490984200.72240585
0.722405850887290.001769093098000000001 1962-11-200.72240585080.72991788
0.727413833141320.001790333888000000000 1962-11-210.72991788380.73868191
0.739933907985680.001826745923000000003 1962-11-230.73993390790.75370591
0.734925866127010.001808539149000000002 1962-11-260.75370591870.74619388
0.739933907985680.001808539149000000001 1962-11-270.74619388580.74619388
0.746193885803220.001814608694000000001 1962-11-280.74619388580.74869793
0.744941890239710.001817644224000000001 1962-11-290.74869793650.74994993
0.747445940971370.001814608694000000001 1962-11-300.74994993200.74869793
0.742437899112700.001811575377000000001 1962-12-030.74869793650.74744594
0.747445940971370.001823712373000000001 1962-12-040.74744594090.75245392
0.752453923225400.001844954444000000002 1962-12-050.75245392320.76121795
0.756209909915920.001835852046000000002 1962-12-060.76121795170.75746196
0.753705918788900.001844954444000000001 1962-12-070.75746196500.76121795
0.757461965084070.001835852046000000001 1962-12-100.76121795170.75746196
0.748697936534880.001835852046000000002 1962-12-110.75746196500.75746196
0.756209909915920.001869230763000000002 1962-12-120.75746196500.77123397
0.767477989196770.001863161800000000001 1962-12-130.77123397580.76872998
0.767477989196770.001869230763000000000 1962-12-140.76872998470.77123397
0.767477989196770.001869230763000000000 1962-12-170.77123397580.77123397
0.748697936534880.001838690135000000001 1962-12-180.76747798910.75370591
0.746193885803220.001857017399000000002 1962-12-190.75370591870.76121795
0.757461965084070.001857017399000000001 1962-12-200.76121795170.76121795
0.757461965084070.001853962778000000000 1962-12-210.76121795170.75996595
0.758713960647580.001853962778000000000 1962-12-240.75996595620.75996595
0.759965956211090.001872289460000000001 1962-12-260.75996595620.76747798
0.768729984760280.001881452626000000001 1962-12-270.76872998470.77123397
0.766225934028620.001881452626000000001 1962-12-280.77123397580.77123397
0.767477989196770.001875343732000000000 1962-12-310.76998198030.76872998
0.757461965084070.001866181264000000001 1963-01-020.76872998470.76497393
0.762469947338100.001878397539000000003 1963-01-030.76497393840.76998198
0.769981980323790.001887560705000000002 1963-01-040.76998198030.77373796
0.761217951774590.001875343732000000002 1963-01-070.77123397580.76872998
0.767477989196770.001902831136000000003 1963-01-080.76872998470.77999800
0.776241958141320.001905886223000000002 1963-01-090.77999800440000.78125
0.779998004436490.001930320519000000003 1963-01-10000000.781250.79126602
0.787510037422180.001927265664000000001 1963-01-110.79126602410.79001402
0.786258041858670.001921157469000000001 1963-01-140.79001402850.78751003
0.782501995563500.001921157469000000001 1963-01-150.78751003740.78751003
0.779998004436490.001905886223000000001 1963-01-160.78751003740000.78125
0.778746008872980.001911994419000000001 1963-01-17000000.781250.78375399
0.782501995563500.001915050204000000000 1963-01-180.78375399110.78500598
0.779998004436490.001918103895000000001 1963-01-210.78500598660.78625804
0.785005986690520.001918103895000000000 1963-01-220.78625804180.78625804
0.785005986690520.001927265664000000002 1963-01-230.78625804180.79001402
0.785005986690520.001927265664000000001 1963-01-240.79001402850.79001402
0.785005986690520.001930320519000000001 1963-01-250.79001402850.79126602
0.788762032985680.001936428947000000001 1963-01-280.79126602410.79377001
0.790014028549190.001936428947000000000 1963-01-290.79377001520.79377001
0.774989962577810.001896724803000000001 1963-01-300.79001402850.77749401
0.772485971450800.001911994419000000001 1963-01-310.77749401330.78375399
0.778746008872980.001905886223000000000 1963-02-010.78375399110000.78125
0.774989962577810.001896724803000000001 1963-02-04000000.781250.77749401
0.774989962577810.001902831136000000001 1963-02-050.77749401330.77999800
0.779998004436490.001908941077000000001 1963-02-060.77999800440.78250199
0000000000.781250.001918103895000000001 1963-02-070.78250199550.78625804
0000000000.781250.001921157469000000001 1963-02-080.78625804180.78751003
0.783753991127010.001915050204000000001 1963-02-110.78751003740.78500598
0.778746008872980.001911994419000000001 1963-02-120.78375399110.78375399
0.782501995563500.001930320519000000001 1963-02-130.78375399110.79126602
0.783753991127010.001911994419000000000 1963-02-140.79126602410.78375399
0.782501995563500.001930320519000000001 1963-02-150.78375399110.79126602
0.786258041858670.001924211857000000001 1963-02-180.79126602410.78876203
0.773737967014310.001893668551000000000 1963-02-190.78625804180.77624195
0.747445940971370.001850908040000000001 1963-02-200.76622593400.75871396
0.746193885803220.001875343732000000001 1963-02-210.75871396060.76872998
0.751201927661890.001838690135000000001 1963-02-250.76246994730.75370591
0.746193885803220.001829528133000000001 1963-02-260.75370591870.74994993
0.743689894676200.001823420170000000000 1963-02-270.74994993200.74744594
0.727413833141320.001777605270000000001 1963-02-280.74368989460.72866588
0.729917883872980.001789822359000000001 1963-03-010.72991788380.73367387
0.729917883872980.001786767039000000001 1963-03-040.73367387050.73242187
0.726161837577810.001771496608000000001 1963-03-0500.7324218750.72616183
0.718649864196770.001795931137000000001 1963-03-060.72616183750.73617786
0.736177861690520.001808148343000000001 1963-03-070.73617786160.74118590
0.742437899112700.001811201684000000001 1963-03-080.74243789910.74243789
0.739933907985680.001832583337000000001 1963-03-110.74243789910.75120192
0.741185903549190.001832587760000000001 1963-03-120.74994993200.74619388
0.743689894676200.001835662638000000001 1963-03-130.74619388580.74744594
000000.7324218750.001798765501000000001 1963-03-140.74744594090.73242187
0.733673870563500.001811063964000000001 1963-03-150.73367387050.73742991
0.723657846450800.001777241704000000000 1963-03-180.73742991680.72365784
0.723657846450800.001786465873000000000 1963-03-190.72365784640.72741383
0.724909842014310.001798765501000000001 1963-03-200.72741383310.73242187
0.731169879436490.001795689924000000001 1963-03-2100.7324218750.73116987
0.727413833141320.001801839214000000000 1963-03-220.73116987940.73367387
000000.7324218750.001801839214000000001 1963-03-250.73367387050.73367387
0.734925866127010.001814139657000000001 1963-03-260.73492586610.73868191
0.738681912422180.001817213837000000001 1963-03-270.73868191240.73993390
0.742437899112700.001832587760000000001 1963-03-280.74243789910.74619388
0.746193885803220.001835662638000000001 1963-03-290.74619388580.74744594
0.742437899112700.001832587760000000001 1963-04-010.74744594090.74619388
000000.7324218750.001798765501000000001 1963-04-020.74494189020.73242187
0.728665888309470.001832587760000000001 1963-04-0300.7324218750.74619388
0.743689894676200.001838737400000000001 1963-04-040.74619388580.74869793
0.747445940971370.001887935562000000002 1963-04-050.74869793650.76872998
0.762469947338100.001887935562000000001 1963-04-080.76872998470.76872998
0.764973938465110.001881783944000000001 1963-04-090.76872998470.76622593
0.754957914352410.001881783944000000001 1963-04-100.76622593400.76622593
0.757461965084070.001869485480000000001 1963-04-110.76622593400.76121795
0.763721942901610.001900233444000000001 1963-04-150.76372194290.77373796
0.768729984760280.001909459824000000001 1963-04-160.77373796700.77749401
0.773737967014310.001921757590000000002 1963-04-170.77749401330.78250199
0.773737967014310.001912532956000000001 1963-04-18000000.781250.77874600
0.776241958141320.001912532956000000000 1963-04-190.77874600880.77874600
0.777494013309470.001912532956000000001 1963-04-220.77874600880.77874600
0.779998004436490.001967877149000000005 1963-04-230.77999800440.80128204
0.795022010803220.001961729489000000003 1963-04-240.80128204820.79877805
0.791266024112700.001949431374000000001 1963-04-250.79877805700.79377001
0.791266024112700.001943281618000000001 1963-04-260.79377001520.79126602
0.787510037422180.001940206275000000001 1963-04-290.79126602410.79001402
0.783753991127010.001937131048000000001 1963-04-300.79001402850.78876203
0.791266024112700.001970955636000000004 1963-05-010.79126602410.80253404
0.803786039352410.001986327813000000002 1963-05-020.80378603930.80879408
0.801282048225400.001977103296000000001 1963-05-030.80879408120.80503803
0.806290090084070.001989403972000000001 1963-05-060.80629009000.81004607
0.801282048225400.001983252819000000001 1963-05-070.80879408120.80754208
0.811298072338100.002017076825000000002 1963-05-080.81129807230.82131409
0.822566092014310.002029374474000000001 1963-05-090.82256609200.82632213
0.816306114196770.002010925905000000001 1963-05-100.82507008310.81881010
0.817558109760280.002007852774000000001 1963-05-130.81881010530.81755810
0.808794081211090.001995552331000000001 1963-05-140.81755810970.81255006
0.808794081211090.002014001598000000001 1963-05-150.81255006790.82006210
0.817558109760280.002007852774000000001 1963-05-160.82006210080.81755810
0.815054059028620.002017076825000000000 1963-05-170.81755810970.82131409
0.810046076774590.001998627092000000001 1963-05-200.81881010530.81380206
0.812550067901610.002010925905000000000 1963-05-210.81380206340.81881010
0.816306114196770.002004777314000000000 1963-05-220.81881010530.81630611
0.817558109760280.002020151820000000001 1963-05-230.81755810970.82256609
0.818810105323790.002038599690000000002 1963-05-240.82256609200.83007812
0.821314096450800.002035523997000000001 1963-05-2700.8300781250.82882612
0.823818087577810.002038599690000000001 1963-05-280.82882612940.83007812
0.826322138309470.002041674917000000001 1963-05-2900.8300781250.83133012
0.832582116127010.002066273940000000001 1963-05-310.83258211610.84134614
0.836338162422180.002053975127000000000 1963-06-030.84134614460.83633816
000000.8300781250.002047823974000000001 1963-06-040.83633816240.83383411
0.817558109760280.002017076825000000001 1963-06-050.83383411160.82131409
0.817558109760280.002017076825000000000 1963-06-060.82131409640.82131409
0.818810105323790.002029374474000000001 1963-06-070.82131409640.82632213
0.816306114196770.002014001598000000001 1963-06-100.82632213830.82006210
0.812550067901610.002001701155000000000 1963-06-110.81881010530.81505405
0.813802063465110.002017076825000000001 1963-06-120.81505405900.82131409
0.812550067901610.002001701155000000000 1963-06-130.82131409640.81505405
0.812550067901610.001998627092000000000 1963-06-140.81505405900.81380206
0.797526061534880.001958654727000000001 1963-06-170.81380206340.79752606
0.793770015239710.001980317523000000001 1963-06-180.79752606150.80128204
0.801282048225400.001995791681000000001 1963-06-190.80128204820.80754208
0.801282048225400.002008167793000000001 1963-06-200.80754208560.81255006
0.806290090084070.002014356432000000001 1963-06-210.81255006790.81505405
0.811298072338100.002020546002000000000 1963-06-240.81505405900.81755810
0.811298072338100.002011262578000000000 1963-06-250.81755810970.81380206
0.797526061534880.001971035264000000001 1963-06-260.80879408120.79752606
0.778746008872980.001930812024000000001 1963-06-270.79752606150000.78125
0000000000.781250.001955565530000000001 1963-06-28000000.781250.79126602
0000000000.781250.001946281641000000000 1963-07-010.79001402850.78751003
0.783753991127010.001971035264000000001 1963-07-020.78751003740.79752606
0.798778057098380.001995791681000000001 1963-07-030.79877805700.80754208
0.802534043788900.001992696430000000000 1963-07-050.80754208560.80629009
0.798778057098380.001986507792000000000 1963-07-080.80629009000.80378603
0.800030052661890.001992696430000000001 1963-07-090.80378603930.80629009
0.798778057098380.001977224135000000001 1963-07-100.80629009000.80003005
0.797526061534880.001974130747000000000 1963-07-110.80003005260.79877805
0.792518019676200.001961754634000000001 1963-07-120.79877805700.79377001
0.786258041858670.001943189301000000000 1963-07-150.79251801960.78625804
0.783753991127010.001955565530000000001 1963-07-160.78625804180.79126602
0.791266024112700.001961754634000000001 1963-07-170.79126602410.79377001
0.791266024112700.001955565530000000000 1963-07-180.79377001520.79126602
0.782501995563500.001940095564000000000 1963-07-190.79001402850.78500598
0.776241958141320.001924623851000000000 1963-07-220.78500598660.77874600
0.764973938465110.001896776258000000001 1963-07-230.77874600880.76747798
0.763721942901610.001915339264000000001 1963-07-240.76747798910.77498996
0.766225934028620.001893680775000000001 1963-07-250.77498996250.76622593
0.762469947338100.001902963384000000001 1963-07-260.76622593400.76998198
0.764973938465110.001896776258000000000 1963-07-290.76998198030.76747798
0.771233975887290.001927716890000000001 1963-07-300.77123397580.77999800
0.777494013309470.001933905528000000001 1963-07-310.77999800440.78250199
0.779998004436490.001943189301000000000 1963-08-010.78250199550.78625804
0.785005986690520.001949377357000000000 1963-08-020.78625804180.78876203
0.787510037422180.001964849187000000000 1963-08-050.78876203290.79502201
0.795022010803220.001986507792000000001 1963-08-060.79502201080.80378603
0.796274065971370.001967943040000000000 1963-08-070.80378603930.79627406
0.792518019676200.001961754634000000000 1963-08-080.79627406590.79377001
0.787510037422180.001980317523000000001 1963-08-090.79377001520.80128204
0.798778057098380.001983414636000000000 1963-08-120.80128204820.80253404
0.805038034915920.002014356432000000001 1963-08-130.80503803490.81505405
0.808794081211090.002026733011000000001 1963-08-140.81505405900.82006210
0.816306114196770.002023638691000000001 1963-08-150.82006210080.81881010
0.813802063465110.002023638691000000000 1963-08-160.81881010530.81881010
0.813802063465110.002017450984000000000 1963-08-190.81881010530.81630611
0.810046076774590.002008167793000000001 1963-08-200.81505405900.81255006
0.811298072338100.002017450984000000000 1963-08-210.81255006790.81630611
0.810046076774590.002008167793000000000 1963-08-220.81630611410.81255006
0.812550067901610.002014356432000000000 1963-08-230.81255006790.81505405
0.807542085647580.002005074173000000000 1963-08-260.81505405900.81129807
0.798778057098380.001974130747000000000 1963-08-270.81004607670.79877805
0.803786039352410.002005074173000000000 1963-08-280.80378603930.81129807
0.810046076774590.002001980319000000000 1963-08-290.81129807230.81004607
0.812550067901610.002017450984000000000 1963-08-300.81255006790.81630611
0.815054059028620.002029828261000000001 1963-09-030.81630611410.82131409
0.808794081211090.001998884836000000001 1963-09-040.82006210080.80879408
0.807542085647580.002023638691000000001 1963-09-050.80879408120.81881010
0.815054059028620.002020546002000000002 1963-09-060.81881010530.81755810
0.811298072338100.002011262578000000001 1963-09-090.81755810970.81380206
0.807542085647580.002017450984000000001 1963-09-100.81380206340.81630611
0.817558109760280.002032922348000000001 1963-09-110.81755810970.82256609
0.817558109760280.002070286078000000002 1963-09-120.82256609200.83258211
0.832582116127010.002070286078000000001 1963-09-130.83258211610.83258211
0.818810105323790.002039152663000000001 1963-09-160.83258211610.82006210
0.821314096450800.002045379951000000001 1963-09-170.82131409640.82256609
0.817558109760280.002032927703000000001 1963-09-180.82256609200.81755810
0.818810105323790.002067171968000000001 1963-09-190.81881010530.83133012
0.825070083141320.002054719254000000001 1963-09-200.83133012050.82632213
0.815054059028620.002039152663000000001 1963-09-230.82381808750.82006210
0.816306114196770.002042266540000000000 1963-09-240.82006210080.82131409
