0.044753085821860.039126429706000000012 1986-08-040.04783950740.04552469
0.044753085821860.038463260978000000003 1986-08-050.04552469030.04475308
0.044753085821860.039457987993000000002 1986-08-060.04475308580.04591049
0.044753085821860.040452752262000000005 1986-08-070.04591049250.04706790
0.044753085821860.040452752262000000005 1986-08-080.04706790290.04706790
0.041666667908430.038463260978000000044 1986-08-110.04706790290.04475308
0.045524690300220.040452752262000000040 1986-08-120.04552469030.04706790
0.047067902982230.042110648006000000037 1986-08-130.04706790290.04899691
0.047067902982230.042110648006000000021 1986-08-140.04899691410.04899691
0.048611111938950.042110648006000000015 1986-08-150.04899691410.04899691
0.048611111938950.042110648006000000029 1986-08-180.04899691410.04899691
0.048611111938950.042442228645000000006 1986-08-190.04899691410.04938271
0.047067902982230.040452752262000000008 1986-08-200.04938271640.04706790
0.047067902982230.040452752262000000001 1986-08-210.04706790290.04706790
0.047067902982230.040452752262000000000 1986-08-220.04706790290.04706790
0.047067902982230.041115906089000000007 1986-08-250.04706790290.04783950
0.042438272386780.038463260978000000003 1986-08-260.04783950740.04475308
0.044753085821860.040452752262000000005 1986-08-270.04475308580.04706790
0.046296294778580.041779063642000000056 1986-08-280.04706790290.04861111
0.048611111938950.043768532574000000040 1986-08-290.04861111190.05092592
0.050925925374030.045094858855000000020 1986-09-020.05092592530.05246913
0.050925925374030.045094858855000000019 1986-09-030.05246913430.05246913
0.047839507460590.042442228645000000089 1986-09-040.05246913430.04938271
0.047067902982230.041779063642000000030 1986-09-050.04938271640.04861111
0.046296294778580.041115906089000000001 1986-09-080.04861111190.04783950
0.047067902982230.041779063642000000014 1986-09-090.04783950740.04861111
0.047067902982230.040452752262000000037 1986-09-100.04861111190.04706790
0.041666667908430.035810627043000000008 1986-09-110.04706790290.04166666
0.040895063430070.038463260978000000019 1986-09-120.04166666790.04475308
0.043209876865140.037136942148000000001 1986-09-150.04475308580.04320987
0.043209876865140.039789579808000000028 1986-09-160.04320987680.04629629
0.047067902982230.041115906089000000008 1986-09-170.04706790290.04783950
0.046296294778580.039789579808000000004 1986-09-180.04783950740.04629629
0.045524690300220.040452752262000000000 1986-09-190.04629629470.04706790
0.046296294778580.041115906089000000009 1986-09-220.04706790290.04783950
0.047839507460590.042442228645000000066 1986-09-230.04783950740.04938271
0.048611111938950.041779063642000000008 1986-09-240.04938271640.04861111
0.047067902982230.041779063642000000003 1986-09-250.04861111190.04861111
0.043981481343500.037800107151000000004 1986-09-260.04861111190.04398148
0.042438272386780.036473784595000000004 1986-09-290.04398148130.04243827
0.040123455226420.037800107151000000029 1986-09-300.04243827230.04398148
0.042438272386780.037800107151000000007 1986-10-010.04398148130.04398148
0.042438272386780.037136942148000000037 1986-10-020.04398148130.04320987
0.042438272386780.036473784595000000002 1986-10-030.04320987680.04243827
0.042438272386780.037136942148000000000 1986-10-060.04243827230.04320987
0.043209876865140.039789579808000000008 1986-10-070.04320987680.04629629
0.046296294778580.045758027583000000205 1986-10-080.04629629470.05324074
0.052469134330740.048410657793000000132 1986-10-090.05324074250.05632716
0.054012347012750.047084353864000000055 1986-10-100.05632716040.05478395
0.052469134330740.047084353864000000010 1986-10-130.05478395140.05478395
0.054012347012750.046421188861000000024 1986-10-140.05478395140.05401234
0.054012347012750.047747500240000000020 1986-10-150.05401234700.05555555
0.055555555969470.048410657793000000001 1986-10-160.05555555590.05632716
0.055555555969470.048410657793000000018 1986-10-170.05632716040.05632716
0.055555555969470.048410657793000000003 1986-10-200.05632716040.05632716
0.054783951491110.047747500240000000007 1986-10-210.05632716040.05555555
0.054783951491110.047084353864000000003 1986-10-220.05555555590.05478395
0.054783951491110.047084353864000000016 1986-10-230.05478395140.05478395
0.054783951491110.047747500240000000008 1986-10-240.05478395140.05555555
0.053240742534390.046421188861000000006 1986-10-270.05516975370.05401234
0.053240742534390.047747500240000000017 1986-10-280.05401234700.05555555
0.054783951491110.047084353864000000001 1986-10-290.05555555590.05478395
0.054783951491110.047747500240000000008 1986-10-300.05478395140.05555555
0.054012347012750.047747500240000000006 1986-10-310.05555555590.05555555
0.054012347012750.047084353864000000000 1986-11-030.05478395140.05478395
0.054783951491110.051063299179000000076 1986-11-040.05478395140.05941358
0.059413582086560.051726453006000000122 1986-11-050.05941358200.06018518
0.058641973882910.051726453006000000005 1986-11-060.06018518650.06018518
0.058641973882910.052389614284000000042 1986-11-070.06018518650.06095679
0.060185186564920.051726453006000000004 1986-11-100.06095679100.06018518
0.060185186564920.053715944290000000074 1986-11-110.060185186500000.0625
0.061728395521640.054379098117000000027 1986-11-120000000.06250.06327160
0.061728395521640.053052779287000000014 1986-11-130.06327160440.06172839
0.060185186564920.053715944290000000012 1986-11-140.061728395500000.0625
0.060185186564920.053052779287000000004 1986-11-170000000.06250.06172839
0.059413582086560.051063299179000000007 1986-11-180.06172839550.05941358
0.058641973882910.050400134176000000012 1986-11-190.05941358200.05864197
0.058641973882910.051726453006000000003 1986-11-200.05864197380.06018518
0.060185186564920.053715944290000000007 1986-11-210.060185186500000.0625
0.060956791043280.054379098117000000070 1986-11-240000000.06250.06327160
0.063271604478350.057363320142000000042 1986-11-250.06327160440.06674382
0.066358022391790.057031732052000000014 1986-11-260.06674382830.06635802
0.064814813435070.057031732052000000008 1986-11-280.06635802230.06635802
00000000000.06250.055042266845000000004 1986-12-010.06635802230.06404320
00000000000.06250.053715944290000000007 1986-12-020.064043208900000.0625
0.060185186564920.051726453006000000017 1986-12-030000000.06250.06018518
0.060185186564920.053052779287000000007 1986-12-040.06018518650.06172839
0.061728395521640.053052779287000000009 1986-12-050.06172839550.06172839
0.061728395521640.053715944290000000001 1986-12-080.061728395500000.0625
0.061728395521640.053715944290000000007 1986-12-090000000.062500000.0625
0.061728395521640.053715944290000000009 1986-12-100000000.062500000.0625
0.061728395521640.053052779287000000007 1986-12-110000000.06250.06172839
0.060956791043280.053052779287000000021 1986-12-120.06172839550.06172839
0.060956791043280.052389614284000000002 1986-12-150.06172839550.06095679
0.060956791043280.053052779287000000000 1986-12-160.06095679100.06172839
0.060185186564920.051726453006000000013 1986-12-170.06172839550.06018518
0.060570988804100.052389614284000000000 1986-12-180.06057098880.06095679
0.060185186564920.052389614284000000016 1986-12-190.06095679100.06095679
