0.095486111938950.075258783996000000016 1990-07-120.09635416410.09982638
0.098090276122090.079185344278000000046 1990-07-130.09809027610.10503472
0.100694447755810.077222049236000000079 1990-07-160.10416666410.10243055
0.094618052244180.073295511305000000042 1990-07-170000.10156250.09722222
0.094618052244180.074604354798000000023 1990-07-180.09461805220.09895833
0.097222223877900.073295511305000000025 1990-07-190.09809027610.09722222
0.096354164183130.073295511305000000060 1990-07-200.09809027610.09722222
0.091145835816860.068714551627000000035 1990-07-230.09722222380.09114583
0.082465276122090.064787998795000000051 1990-07-240.092013888000.0859375
0.084201388061040.066751278936000000043 1990-07-250.08420138800.08854166
0.088541664183130.068060114979000000017 1990-07-260.08854166410.09027777
0.089409723877900.067405700683000000008 1990-07-270.09114583580.08940972
0.087673611938950.068060114979000000017 1990-07-300.08940972380.09027777
0.088541664183130.066751278936000000009 1990-07-310.09027777610.08854166
0.086805552244180.066751278936000000008 1990-08-010.08854166410.08854166
0.084201388061040.065442405641000000006 1990-08-020.08767361190.08680555
0.079861111938950.063479155302000000054 1990-08-030000.08593750.08420138
0.078993052244180.062824726104000000062 1990-08-060.08420138800.08333333
0.083333335816860.063806340098000000036 1990-08-070.08506944770.08463541
0.083333335816860.062824726104000000021 1990-08-080.08506944770.08333333
0.083333335816860.066096857190000000050 1990-08-090.08420138800.08767361
0.082465276122090.062824726104000000035 1990-08-100.08680555220.08333333
0.079861111938950.061843082308000000012 1990-08-130.08159722380.08203125
0.080729164183130.060861464589000000021 1990-08-140.08072916410.08072916
0.080729164183130.062170315533000000035 1990-08-150.08246527610.08246527
0.080729164183130.060861464589000000021 1990-08-160.08116319770.08072916
0.079861111938950.064787998795000000088 1990-08-170.081597223800.0859375
0.085069447755810.064787998795000000045 1990-08-200000.085937500.0859375
0.080729164183130.061515882611000000036 1990-08-210.08420138800.08159722
0.083333335816860.063479155302000000026 1990-08-220.08420138800.08420138
0.076388888061040.058898180723000000056 1990-08-230.0798611119000.078125
0.078993052244180.062170315533000000059 1990-08-240.07986111190.08246527
0.085069447755810.066096857190000000036 1990-08-270.08506944770.08767361
00000000.08593750.065442405641000000019 1990-08-280.08680555220.08680555
