1.395833373069761.302886247634000000001 1999-06-151.41666662691.41666662
1.416666626930231.341206669807000000001 1999-06-160000001.43751.45833337
1.416666626930231.302886247634000000001 1999-06-171.44791662691.41666662
1.364583373069761.254986047744000000003 1999-06-181.42708337301.36458337
1.368489623069761.322046518325000000002 1999-06-21000001.4062500001.4375
1.380208373069761.298096060752000000004 1999-06-220000001.43751.41145837
1.380208373069761.322046518325000000005 1999-06-231.395833373000001.4375
1.395833373069761.293306112289000000002 1999-06-241.44791662690001.40625
1.395833373069761.312466144561000000001 1999-06-251.39583337301.42708337
1.416666626930231.331626415252000000002 1999-06-281.47395837301.44791662
1.447916626930231.345996141433000000002 1999-06-29000001.468751.46354162
1.479166626930231.465746760368000000006 1999-06-301.51041662690001.59375
1.427083373069761.389106512069000000002 1999-07-01000001.593751.51041662
00000000000001.51.489697337150000000005 1999-07-02000001.531251.61979162
1.604166626930231.494486927986000000004 1999-07-061.6354166269000001.625
0000000001.593751.465746760368000000001 1999-07-071.63541662690001.59375
1.552083373069761.499277353286000000004 1999-07-081.60416662691.63020837
000000000001.6251.626212716102000000005 1999-07-0900000001.6251.76822912
1.802083373069761.700458288192000000010 1999-07-1200000001.8751.84895837
1.770833373069761.705247879028000000003 1999-07-131.86979162691.85416662
1.770833373069761.638187646865000000003 1999-07-141.85416662690001.78125
1.791666626930231.647767901420000000003 1999-07-1500001.7968751.79166662
1.791666626930231.681298017501000000002 1999-07-161.8229166269001.828125
1.770833373069761.638187646865000000001 1999-07-191.83333337300001.78125
00000000001.68751.609447479248000000004 1999-07-20000001.781250000001.75
1.645833373069761.561547279357000000002 1999-07-211.72916662691.69791662
1.604166626930231.489697337150000000005 1999-07-220000001.68751.61979162
1.614583373069761.489697337150000000002 1999-07-231.61458337301.61979162
000000000001.6251.494486927986000000001 1999-07-261.6614583730000001.625
1.604166626930231.499277353286000000002 1999-07-2700000001.6251.63020837
1.619791626930231.523227214813000000006 1999-07-2800000001.6250001.65625
1.614583373069761.537597417831000000009 1999-07-2900000001.625001.671875
1.666666626930231.542387485504000000011 1999-07-3000001.6718751.67708337
1.666666626930231.556757688522000000007 1999-08-021.67708337301.69270837
1.635416626930231.518437385559000000006 1999-08-031.69270837301.65104162
1.645833373069761.518437385559000000002 1999-08-041.66145837301.65104162
000000000001.6251.542387485504000000006 1999-08-051.65104162691.67708337
1.666666626930231.542387485504000000004 1999-08-0600001.6718751.67708337
1.666666626930231.542387485504000000000 1999-08-091.68229162691.67708337
1.677083373069761.571127295494000000005 1999-08-100000001.68751.70833337
0000000001.718751.676508188247000000004 1999-08-111.73958337301.82291662
1.822916626930231.757938385009000000005 1999-08-121.83333337301.91145837
000000000001.8751.738778471946000000002 1999-08-131.8958333730001.890625
1.755208373069761.671718001365000000005 1999-08-16000001.906251.81770837
1.776041626930231.676508188247000000004 1999-08-171.82291662691.82291662
000000001.7656251.714828372001000000006 1999-08-181.80208337301.86458337
1.927083373069762.078870058059000000049 1999-08-191.99479162692.26041674
0000000002.156252.059710264205000000008 1999-08-2000002.2656252.23958325
0000000002.031251.935169458389000000012 1999-08-232.20833325382.10416674
0000000001.968751.925589084625000000009 1999-08-242.07291674610002.09375
00000000000000021.916008830070000000008 1999-08-252.09895825382.08333325
2.020833253860471.887269139289000000006 1999-08-262.08333325382.05208325
2.083333253860471.992648720741000000013 1999-08-27000002.093752.16666674
2.067708253860471.985464572906000000003 1999-08-3000002.2031252.15885424
000000000002.1252.155510187149000000019 1999-08-312.16666674610002.34375
2.197916746139522.054919481277000000014 1999-09-01000002.34375002.234375
2.114583253860472.030969858169000000008 1999-09-022.16145825382.20833325
2.208333253860472.045339107513000000006 1999-09-03000000002.252.22395825
000000002.2031252.035759449005000000003 1999-09-072.26041674612.21354174
2.208333253860472.030969858169000000004 1999-09-08000002.218752.20833325
2.135416746139522.002230167388000000005 1999-09-092.22916674612.17708325
2.197916746139522.030969858169000000004 1999-09-102.21354174612.20833325
2.114583253860471.963909506797000000004 1999-09-13000002.218752.13541674
00000000002.06251.906429529190000000006 1999-09-142.13541674612.07291674
0000000002.031251.920799136161000000005 1999-09-1500002.0468752.08854174
2.010416746139521.872898578643000000003 1999-09-160000002.06252.03645825
1.958333373069761.868109107017000000004 1999-09-170002.02343750002.03125
1.958333373069761.801048636436000000005 1999-09-201.99479162691.95833337
1.744791626930231.628607749938000000018 1999-09-211.91666662691.77083337
1.666666626930231.666928172111000000009 1999-09-221.770833373000001.8125
1.645833373069761.528017401695000000009 1999-09-231.81770837301.66145837
1.395833373069761.389106512069000000017 1999-09-241.66666662691.51041662
1.510416626930231.475326776504000000010 1999-09-2700001.6093751.60416662
1.604166626930231.609447479248000000010 1999-09-281.60677087300000001.75
1.583333373069761.480117440223000000014 1999-09-291.7864583730001.609375
1.583333373069761.475326776504000000008 1999-09-301.66666662691.60416662
1.510416626930231.465746760368000000008 1999-10-0100001.5781250001.59375
1.604166626930231.494486927986000000004 1999-10-041.6458333730000001.625
000000000001.6251.638187646865000000011 1999-10-0500000001.6250001.78125
1.770833373069761.834578633308000000037 1999-10-061.78645837301.99479162
1.854166626930231.714828372001000000012 1999-10-0700002.0781251.86458337
1.791666626930231.801048636436000000009 1999-10-081.86458337301.95833337
1.854166626930231.753148555755000000013 1999-10-111.97395837300001.90625
000000000001.8751.729198098182000000008 1999-10-121.91666662691.88020837
1.791666626930231.681298017501000000007 1999-10-1300001.859375001.828125
1.770833373069761.647767901420000000004 1999-10-141.83333337301.79166662
1.697916626930231.638187646865000000005 1999-10-1500001.7031250001.78125
1.677083373069761.551967144012000000005 1999-10-181.786458373000001.6875
1.588541626930231.489697337150000000007 1999-10-191.73958337301.61979162
1.619791626930231.542387485504000000008 1999-10-201.64583337301.67708337
000000000001.6251.614237546920000000009 1999-10-2100001.6718751.75520837
0000000000001.751.652557849884000000007 1999-10-22000000001.75001.796875
1.708333373069761.571127295494000000005 1999-10-251.78645837301.70833337
1.770833373069761.724408388137000000012 1999-10-26000001.78125000001.875
1.760416626930231.647767901420000000005 1999-10-271.88541662691.79166662
1.697916626930231.571127295494000000005 1999-10-281.80208337301.70833337
0000000001.718751.695668220520000000008 1999-10-291.72916662690001.84375
00000000001.81251.801048636436000000019 1999-11-010000001.81251.95833337
1.979166626930231.916008830070000000020 1999-11-021.99479162692.08333325
2.151041746139522.102820158004000000050 1999-11-032.16666674612.28645825
00000000002.31252.236940860748000000031 1999-11-040000002.31252.43229174
2.239583253860472.165090560913000000015 1999-11-050000000002.52.35416674
2.208333253860472.227360486984000000011 1999-11-08000002.28125002.421875
2.291666746139522.193830490112000000006 1999-11-092.41666674612.38541674
2.317708253860472.174670219421000000003 1999-11-102.39322924612.36458325
00000000002.31252.327951431274000000014 1999-11-112.36458325380002.53125
2.489583253860472.452491521835000000012 1999-11-1200002.6406252.66666674
2.572916746139522.404591321945000000009 1999-11-152.68489575382.61458325
2.666666746139522.634512662887000000018 1999-11-162.67708325382.86458325
000000000002.8752.735102891921000000019 1999-11-172.91666674612.97395825
2.958333253860472.744682788848000000005 1999-11-183.0364582538002.984375
3.333333253860473.285956144332000000054 1999-11-19000003.343753.57291674
3.354166746139523.281165599822000000013 1999-11-220003.66406253.56770825
3.166666746139523.046454429626000000013 1999-11-2300003.20312500003.3125
2.963541746139522.950653553009000000010 1999-11-2400003.2968753.20833325
3.083333253860472.931493520736000000001 1999-11-263.177083253800003.1875
00000000000000032.826112747192000000007 1999-11-293.17708325383.07291674
2.885416746139522.653671979904000000007 1999-11-303.08333325382.88541674
2.885416746139522.787792444229000000005 1999-12-012.88541674610003.03125
3.041666746139522.993764162063000000007 1999-12-023.04166674613.25520825
3.135416746139522.921913385391000000008 1999-12-033.28645825383.17708325
00000000003.18753.003344535827000000004 1999-12-060000003.1875003.265625
0000000003.031252.902754545211000000004 1999-12-073.29166674610003.15625
3.135416746139523.032083988189000000005 1999-12-083.1458332538003.296875
3.083333253860472.941074132919000000005 1999-12-093.29166674613.19791674
3.104166746139522.907543897628000000002 1999-12-103.25520825383.16145825
3.083333253860472.897963523864000000004 1999-12-1300000003.1253.15104174
3.067708253860472.850063085556000000006 1999-12-14000003.156253.09895825
2.927083253860472.759052515029000000005 1999-12-1500003.0781250000000003
0000000002.968752.739892721176000000003 1999-12-1600003.0156252.97916674
000000003.0468752.883594036102000000006 1999-12-170000003.06253.13541674
0000000003.031253.123094558715000000010 1999-12-2000003.1406253.39583325
3.270833253860473.257215499877000000009 1999-12-213.39583325383.54166674
3.416666746139523.333856344223000000006 1999-12-223.5520832538000003.625
3.614583253860473.554196596145000000007 1999-12-233.63020825383.86458325
3.677083253860473.420076370239000000005 1999-12-273.94791674610003.71875
3.697916746139523.410495758056000000004 1999-12-28000003.718753.70833325
3.697916746139523.525457382202000000003 1999-12-293.70052075383.83333325
3.770833253860473.554196596145000000003 1999-12-303.83333325383.86458325
0000000003.843753.597306489944000000003 1999-12-313.85677075383.91145825
3.677083253860473.587727069854000000007 2000-01-030000003.93753.90104174
3.604166746139523.491926670074000000007 2000-01-043.8333332538003.796875
3.619791746139523.376965999603000000004 2000-01-050000003.6875003.671875
3.291666746139523.156625509262000000003 2000-01-0600003.6718753.43229174
3.364583253860473.209315061569000000001 2000-01-073.41666674613.48958325
00000000003.43753.314696073532000000005 2000-01-100000000003.53.60416674
3.458333253860473.180574893951000000003 2000-01-113.58333325383.45833325
3.322916746139523.099144935607000000003 2000-01-123.45833325383.36979174
3.322916746139523.228475093841000000003 2000-01-133.36458325383.51041674
3.552083253860473.367386102676000000015 2000-01-140000003.56253.66145825
3.541666746139523.511085987091000000006 2000-01-183.70833325383.81770825
0000000000003.753.477556943893000000004 2000-01-193.83333325380003.78125
3.739583253860473.467976570129000000004 2000-01-200000003.81253.77083325
3.635416746139523.429656744003000000013 2000-01-213.76041674613.72916674
3.541666746139523.276375293731000000006 2000-01-243.848958253800003.5625
3.416666746139523.247635364532000000005 2000-01-2500003.5781250003.53125
3.322916746139523.113515377044000000005 2000-01-26000003.531253.38541674
3.083333253860472.950653553009000000011 2000-01-273.41145825383.20833325
2.989583253860472.864433526992000000004 2000-01-283.16666674613.11458325
2.916666746139522.840483903884000000004 2000-01-313.13020825383.08854174
2.979166746139522.907543897628000000002 2000-02-01000003.093753.16145825
3.161458253860472.988973855972000000003 2000-02-023.17708325380000003.25
0000000003.281253.036874771118000000002 2000-02-033.35416674613.30208325
00000000003.31253.108725070953000000003 2000-02-04000003.406253.38020825
3.166666746139522.917123556137000000005 2000-02-073.3958332538003.171875
3.166666746139523.056034803390000000011 2000-02-08000000003.253.32291674
3.401041746139523.132675647735000000014 2000-02-093.44791674610003.40625
3.614583253860473.774538278579000000024 2000-02-103.61458325384.10416650
3.864583253860473.832017660140000000010 2000-02-114.30729150774.16666650
4.135416507720944.445141315460000000016 2000-02-144.17708349224.83333349
4.447916507720944.272699832916000000011 2000-02-15000004.843754.64583349
4.645833492279054.469091892242000000025 2000-02-164.6979165077004.859375
0000000004.781254.627161979675000000013 2000-02-174.85416650770005.03125
000000004.9218755.163644313812000000024 2000-02-184.95833349225.61458349
0000000000005.255.019944190979000000013 2000-02-220000005.43755.45833349
000000005.3281255.048683643341000000012 2000-02-235.39583349225.48958349
5.208333492279055.000782966613000000006 2000-02-245.520833492200005.4375
000000000004.8754.689430713653000000006 2000-02-255.44270849225.09895849
