00000000.82031250.000577883329000000001 1972-10-2000000.8281250.84895831
0.854166686534880.000590291921000000001 1972-10-230.854166686500.8671875
0.861979186534880.000592064927000000003 1972-10-240000.86718750.86979168
0.848958313465110.000583201763000000001 1972-10-250.86458331340.85677081
0.848958313465110.000581429107000000001 1972-10-260.85677081340.85416668
0000000000.843750.000583201763000000001 1972-10-270.85416668650.85677081
0000000000.843750.000574338308000000000 1972-10-300.85677081340000.84375
0.848958313465110.000581429107000000003 1972-10-310.84895831340.85416668
00000000.85156250.000588519498000000003 1972-11-010.85416668650.86458331
0.864583313465110.000609791488000000003 1972-11-020.86458331340.89583331
0.893229186534880.000638153636000000002 1972-11-030.895833313400000.9375
0.916666686534880.000625745451000000002 1972-11-060000000.93750.91927081
00000000.91406250.000627517758000000003 1972-11-080.9192708134000.921875
0.908854186534880.000625745451000000000 1972-11-0900000.9218750.91927081
0.888020813465110.000609791488000000004 1972-11-100.91927081340.89583331
000000000.8906250.000611564028000000000 1972-11-130.895833313400.8984375
00000000.88281250.000609791488000000001 1972-11-140000.89843750.89583331
0.895833313465110.000609791488000000004 1972-11-150.89583331340.89583331
0.888020813465110.000609791488000000002 1972-11-160.89583331340.89583331
0.893229186534880.000609791488000000004 1972-11-170.89583331340.89583331
0.893229186534880.000609791488000000001 1972-11-200.89583331340.89583331
000000000000.8750.000597382953000000001 1972-11-210.89583331340.87760418
0.872395813465110.000606245826000000003 1972-11-220.8776041865000.890625
0.893229186534880.000611564028000000001 1972-11-240.893229186500.8984375
00000000.89843750.000616881938000000001 1972-11-270000.89843750000.90625
0.895833313465110.000618096906000000001 1972-11-28000000.906250.90364581
0.895833313465110.000618096906000000001 1972-11-290.90364581340.90364581
0000000000.906250.000623439904000000001 1972-11-30000000.906250.91145831
0.908854186534880.000627002737000000001 1972-12-010.91145831340.91666668
0.919270813465110.000634127703000000001 1972-12-040.91927081340.92708331
000000000.9218750.000634127703000000002 1972-12-050.92708331340.92708331
0.919270813465110.000634127703000000000 1972-12-060.92708331340.92708331
000000000.9218750.000634127703000000001 1972-12-070.92708331340.92708331
0.927083313465110.000641252845000000003 1972-12-080.927083313400000.9375
00000000.92968750.000643034465000000001 1972-12-110000000.93750.94010418
0.927083313465110.000634127703000000002 1972-12-120.94010418650.92708331
0.916666686534880.000628784415000000003 1972-12-130.92708331340.91927081
0.916666686534880.000627002737000000001 1972-12-140.91927081340.91666668
0.885416686534880.000609189970000000007 1972-12-150.9166666865000.890625
0.885416686534880.000607409456000000001 1972-12-1800000.8906250.88802081
0.880208313465110.000614534248000000002 1972-12-190.888020813400.8984375
0.893229186534880.000612752977000000001 1972-12-200000.89843750.89583331
0.888020813465110.000612752977000000001 1972-12-210.89583331340.89583331
0.888020813465110.000616315403000000000 1972-12-220.89583331340.90104168
0.895833313465110.000612752977000000000 1972-12-260.90104168650.89583331
0.893229186534880.000610971532000000001 1972-12-270.89583331340.89322918
0.893229186534880.000610971532000000001 1972-12-290.89322918650.89322918
00000000.89843750.000621659157000000001 1973-01-020000.89843750.90885418
0.903645813465110.000623439904000000001 1973-01-030.90885418650.91145831
0.903645813465110.000630565162000000002 1973-01-040.9114583134000.921875
00000000.91406250.000634127703000000002 1973-01-0500000.9218750.92708331
0.903645813465110.000619877944000000001 1973-01-080.91666668650000.90625
0.901041686534880.000619877944000000001 1973-01-09000000.906250000.90625
0000000000.906250.000627002737000000002 1973-01-10000000.906250.91666668
0.916666686534880.000635909265000000002 1973-01-110.916666686500.9296875
0000000000.906250.000625222048000000002 1973-01-120000.929687500.9140625
0.908854186534880.000627002737000000001 1973-01-150000.91406250.91666668
0000000000.906250.000625222048000000001 1973-01-160.916666686500.9140625
0000000000.906250.000625222048000000001 1973-01-170000.914062500.9140625
0.908854186534880.000625222048000000001 1973-01-180000.914062500.9140625
0.901041686534880.000623439904000000002 1973-01-190000.91406250.91145831
0.903645813465110.000618096906000000001 1973-01-220.91145831340.90364581
0.885416686534880.000612752977000000002 1973-01-230000.89843750.89583331
0.885416686534880.000607409456000000002 1973-01-240.89583331340.88802081
0.838541686534880.000586034148000000003 1973-01-260.88802081340.85677081
0.856770813465110.000586034148000000001 1973-01-290.85677081340.85677081
0.856770813465110.000587815302000000002 1973-01-300.8567708134000.859375
0.856770813465110.000596721074000000001 1973-01-3100000.8593750.87239581
0.869791686534880.000594940269000000002 1973-02-010.87239581340.86979168
0.864583313465110.000591377727000000000 1973-02-020.86979168650.86458331
000000000.8593750.000587815302000000001 1973-02-050.8645833134000.859375
0.846354186534880.000587815302000000002 1973-02-0600000.859375000.859375
0.833333313465110.000575346348000000002 1973-02-0700000.8593750.84114581
0.838541686534880.000584252760000000001 1973-02-080.84114581340.85416668
0.854166686534880.000593158707000000001 1973-02-090.854166686500.8671875
00000000.86718750.000596721074000000003 1973-02-120000.86718750.87239581
00000000.88281250.000609189970000000003 1973-02-130000.8828125000.890625
0.877604186534880.000600284198000000001 1973-02-1400000.8906250.87760418
0.869791686534880.000607409456000000002 1973-02-150.87760418650.88802081
0.880208313465110.000607409456000000002 1973-02-160.88802081340.88802081
000000000.8906250.000610971532000000000 1973-02-2000000.8906250.89322918
0.893229186534880.000616315403000000001 1973-02-210.89322918650.90104168
0.895833313465110.000619877944000000001 1973-02-220.90104168650000.90625
000000000.8906250.000612752977000000001 1973-02-23000000.906250.89583331
0.885416686534880.000609189970000000002 1973-02-260.8958333134000.890625
0.885416686534880.000612752977000000001 1973-02-2700000.8906250.89583331
0.869791686534880.000606099318000000003 1973-02-280.895833313400.8828125
0.877604186534880.000606099318000000001 1973-03-010000.882812500.8828125
0.872395813465110.000604311586000000001 1973-03-020000.88281250.88020831
0.864583313465110.000602524029000000002 1973-03-050.88020831340.87760418
000000000000.8750.000604311586000000002 1973-03-060.87760418650.88020831
0.880208313465110.000616826873000000003 1973-03-070.880208313400.8984375
0.901041686534880.000623978616000000004 1973-03-080.90104168650.90885418
0.903645813465110.000627554894000000003 1973-03-090.908854186500.9140625
0.895833313465110.000620403268000000001 1973-03-120.91145831340.90364581
000000000.8906250.000618614780000000002 1973-03-130.90364581340.90104168
0.895833313465110.000616826873000000002 1973-03-140.901041686500.8984375
0.885416686534880.000611462630000000000 1973-03-150000.8984375000.890625
00000000.88281250.000616826873000000002 1973-03-1600000.89062500.8984375
0.888020813465110.000611462630000000000 1973-03-190000.8984375000.890625
0.888020813465110.000611462630000000001 1973-03-2000000.890625000.890625
0.869791686534880.000597159960000000003 1973-03-2100000.8906250.86979168
000000000.8281250.000570341653000000004 1973-03-220.86458331340.83072918
0.802083313465110.000564977817000000003 1973-03-230.83072918650.82291668
0.825520813465110.000573917117000000002 1973-03-260.825520813400.8359375
0.841145813465110.000604311586000000002 1973-03-270.84114581340.88020831
00000000.86718750.000606099318000000001 1973-03-280.880208313400.8828125
000000000000.8750.000602524029000000001 1973-03-290000.88281250.87760418
0.854166686534880.000590008392000000001 1973-03-300.8776041865000.859375
0.838541686534880.000575705314000000000 1973-04-0200000.8593750.83854168
00000000000.81250.000573917117000000003 1973-04-030.838541686500.8359375
0.833333313465110.000577493046000000001 1973-04-040000.83593750.84114581
0.815104186534880.000561401888000000001 1973-04-050.83854168650.81770831
00000000000.81250.000570341653000000002 1973-04-060.81770831340.83072918
0.822916686534880.000573917117000000002 1973-04-090.830729186500.8359375
0.833333313465110.000586432579000000004 1973-04-100000.83593750.85416668
0000000000.843750.000584644614000000003 1973-04-110.854166686500.8515625
0.846354186534880.000584644614000000001 1973-04-120000.851562500.8515625
0.838541686534880.000584644614000000001 1973-04-130000.851562500.8515625
00000000.85156250.000584644614000000001 1973-04-160000.851562500.8515625
0000000000.843750.000579280953000000001 1973-04-170000.85156250000.84375
0.841145813465110.000582856708000000001 1973-04-18000000.843750.84895831
0.846354186534880.000582856708000000003 1973-04-190.84895831340.84895831
0.838541686534880.000584644614000000001 1973-04-230.848958313400.8515625
00000000.83593750.000575705314000000003 1973-04-240.84635418650.83854168
000000000.8281250.000570341653000000001 1973-04-250.83854168650.83072918
0.807291686534880.000559613748000000002 1973-04-260000.82031250.81510418
0.809895813465110.000563189911000000001 1973-04-270.815104186500.8203125
0.807291686534880.000564977817000000001 1973-04-300000.82031250.82291668
0.815104186534880.000564977817000000001 1973-05-010.82291668650.82291668
00000000.82031250.000564977817000000002 1973-05-020.82291668650.82291668
