0.440104156732550.273410230875000000011 1980-08-060.44401040670.44010415
00000000.44531250.276645749807000000008 1980-08-070000.445312500.4453125
0.451822906732550.280690282583000000005 1980-08-080.45182290670.45182290
0000000.480468750.298486113548000000007 1980-08-11000.480468750.48046875
0.481770843267440.299295067787000000022 1980-08-120.48177084320.48177084
0000000.472656250.293632715940000000012 1980-08-130.47526040670.47265625
0000000.472656250.293632715940000000008 1980-08-14000.472656250.47265625
0.466145843267440.289588153362000000041 1980-08-15000000.468750.46614584
000000000.4531250.281498998403000000007 1980-08-180.4544270932000.453125
0.446614593267440.277454674243000000008 1980-08-190.44791665670.44661459
0.455729156732550.283116996288000000011 1980-08-200.45572915670.45572915
00000000.46093750.286352604627000000011 1980-08-210000.460937500.4609375
0.463541656732550.287970423698000000038 1980-08-220.46354165670.46354165
0.463541656732550.287970423698000000011 1980-08-250.46354165670.46354165
0.463541656732550.287970423698000000020 1980-08-260.46354165670.46354165
0.462239593267440.287161499261000000003 1980-08-270.46354165670.46223959
0.458333343267440.284734845161000000006 1980-08-280.45963540670.45833334
0.455729156732550.283116996288000000015 1980-08-29000.457031250.45572915
0.462239593267440.287161499261000000006 1980-09-020.46223959320.46223959
00000000.47656250.296059310436000000009 1980-09-030000.476562500.4765625
0000000.480468750.298486113548000000016 1980-09-04000.480468750.48046875
0.477864593267440.296868354082000000006 1980-09-050.47916665670.47786459
0000000.464843750.288779228925000000004 1980-09-080.46744790670.46484375
0.466145843267440.289588153362000000013 1980-09-090.46614584320.46614584
00000000.46093750.286352604627000000010 1980-09-100.463541656700.4609375
0.463541656732550.287970423698000000005 1980-09-110.46354165670.46354165
0.462239593267440.287161499261000000004 1980-09-120.46354165670.46223959
0000000.457031250.283925950527000000005 1980-09-150.45833334320.45703125
0.470052093267440.292014956474000000009 1980-09-160.47005209320.47005209
0.490885406732550.304957479238000000011 1980-09-170.49088540670.49088540
00000000.49218750.305766254663000000014 1980-09-180000.492187500.4921875
0000000.496093750.308193147182000000006 1980-09-19000.496093750.49609375
0000000.488281250.303339689970000000008 1980-09-220.49088540670.48828125
0.470052093267440.292014956474000000007 1980-09-230.47135415670.47005209
0000000.464843750.288779228925000000010 1980-09-240.46744790670.46484375
0.459635406732550.285543709993000000011 1980-09-250000.46093750.45963540
000000000.4531250.281498998403000000009 1980-09-260.4557291567000.453125
0.454427093267440.282308042049000000003 1980-09-290.45442709320.45442709
0.463541656732550.287970423698000000006 1980-09-300.46354165670.46354165
0000000000.468750.291206121444000000005 1980-10-01000000.468750000.46875
0.467447906732550.290397047996000000004 1980-10-02000000.468750.46744790
0.483072906732550.300104081630000000005 1980-10-030.48307290670.48307290
0.513020813465110.318708717823000000010 1980-10-060.51302081340.51302081
0.514322936534880.319517791271000000009 1980-10-070.51432293650.51432293
0000000.503906250.313046455383000000025 1980-10-080.50520831340.50390625
0.502604186534880.312237650156000000008 1980-10-09000.503906250.50260418
0.497395843267440.309002041816000000006 1980-10-100000000000.50.49739584
00000000000000.50.310619801282000000003 1980-10-130000000000.500000000.5
0.502604186534880.312237650156000000006 1980-10-140.50260418650.50260418
0.513020813465110.318708717823000000004 1980-10-150.51302081340.51302081
0.510416686534880.317091047763000000005 1980-10-160.51302081340.51041668
0.505208313465110.313855439424000000006 1980-10-170.51041668650.50520831
00000000000000.50.310619801282000000006 1980-10-200.502604186500000000.5
0.494791656732550.307384222745000000008 1980-10-210.49739584320.49479165
00000000000000.50.310619801282000000005 1980-10-220000000000.500000000.5
0.489583343267440.304148495197000000003 1980-10-230.49479165670.48958334
0.479166656732550.297677278518000000004 1980-10-240.48177084320.47916665
000000000.4531250.281498998403000000005 1980-10-270.4557291567000.453125
0.466145843267440.289588153362000000004 1980-10-280.46614584320.46614584
