20.879999160766620.90999984741000000040 2012-10-0521.48999977120.9099998
20.159999847412120.39999961853000000032 2012-10-0820.39999961820.3999996
19.969999313354420.22999954223000000027 2012-10-0920.38999938920.2299995
19.450000762939419.63999938964000000039 2012-10-1019.93000030519.6399993
19.610000610351500000000019.75000000021 2012-10-1119.8799991600000019.75
19.479999542236319.52000045776000000018 2012-10-12000000019.7519.5200004
19.489999771118119.52000045776000000020 2012-10-1519.68000030519.5200004
19.299999237060519.47999954223000000021 2012-10-1619.68000030519.4799995
19.370000839233419.87999916076000000044 2012-10-170000000019.519.8799991
18.889999389648418.97999954223000000052 2012-10-1819.70000076218.9799995
18.799999237060500000000000019000000034 2012-10-190000000000190000000019
19.049999237060519.31999969482000000032 2012-10-2219.20000076219.3199996
19.1000003814697000000000019.5000000078 2012-10-23000000019.2500000019.5
22.850000381469723.22999954223000000228 2012-10-2424.12999916023.2299995
22.469999313354422.55999946594000000076 2012-10-2523.29000091522.5599994
21.879999160766621.94000053405000000073 2012-10-2622.39999961821.9400005
20.729999542236321.11000061035000000099 2012-10-3120.81999969421.1100006
21.010000228881821.20999908447000000037 2012-11-0121.07999992321.2099990
21.069999694824221.18000030517000000038 2012-11-0221.26000022821.1800003
20.920000076293900000000021.25000000031 2012-11-0521.1000003810000021.25
20.989999771118121.17000007629000000029 2012-11-0621.23999977121.1700000
20.370000839233420.46999931335000000033 2012-11-0720.85000038120.4699993
19.979999542236319.98999977111000000034 2012-11-0820.52000045719.9899997
19.129999160766619.20999908447000000042 2012-11-0919.95999908419.2099990
18.870000839233420.06999969482000000067 2012-11-1219.14999961820.0699996
19.559999465942319.86000061035000000071 2012-11-1319.61000061019.8600006
19.930000305175722.36000061035000000229 2012-11-1420.10000038122.3600006
21.649999618530222.17000007629000000078 2012-11-1522.34000015222.1700000
22.180000305175723.55999946594000000107 2012-11-16000000022.2523.5599994
22.819999694824222.92000007629000000085 2012-11-1923.95999908422.9200000
22.700000762939423.10000038146000000046 2012-11-2022.72999954223.1000003
23.049999237060524.31999969482000000089 2012-11-2123.21999931324.3199996
23.879999160766600000000000024000000029 2012-11-2324.5799999230000000024
24.809999465942325.94000053405000000123 2012-11-2624.94000053425.9400005
25.459999084472626.14999961853000000085 2012-11-2726.04000091526.1499996
0000000000025.7526.36000061035000000049 2012-11-2825.94000053426.3600006
26.159999847412127.31999969482000000088 2012-11-290000000026.527.3199996
26.760000228881800000000000028000000127 2012-11-3027.2600002280000000028
26.979999542236327.04000091552000000123 2012-12-0300000000002827.0400009
26.680000305175727.45999908447000000072 2012-12-0427.05999946527.4599990
27.260000228881827.70999908447000000058 2012-12-05000000027.7527.7099990
26.819999694824226.96999931335000000046 2012-12-0627.68000030526.9699993
26.840000152587827.48999977111000000051 2012-12-0727.06999969427.4899997
27.100000381469727.84000015258000000050 2012-12-1027.17000007627.8400001
27.659999847412127.97999954223000000077 2012-12-1128.06999969427.9799995
27.370000839233427.57999992370000000046 2012-12-1200000000002827.5799999
27.430000305175728.23999977111000000081 2012-12-1327.59000015228.2399997
26.760000228881826.80999946594000000091 2012-12-1428.18000030526.8099994
26.319999694824200000000026.75000000057 2012-12-1726.7700004570000026.75
26.899999618530227.70999908447000000060 2012-12-1826.95999908427.7099990
26.950000762939427.40999984741000000061 2012-12-1927.82999992327.4099998
27.129999160766627.36000061035000000035 2012-12-2027.48999977127.3600006
26.120000839233426.26000022888000000054 2012-12-2126.65999984726.2600002
26.200000762939426.93000030517000000028 2012-12-240000000026.526.9300003
26.379999160766626.51000022888000000033 2012-12-2627.03000068626.5100002
25.520000457763626.04999923706000000043 2012-12-2726.54999923726.0499992
25.149999618530225.90999984741000000056 2012-12-2825.47999954225.9099998
26.110000610351526.62000083923000000060 2012-12-3126.20000076226.6200008
27.420000076293900000000000028000000069 2013-01-0227.4400005340000000028
27.590000152587827.77000045776000000063 2013-01-0327.87999916027.7700004
27.829999923706028.76000022888000000072 2013-01-0428.01000022828.7600002
28.649999618530229.42000007629000000083 2013-01-0728.69000053429.4200000
28.860000610351529.05999946594000000045 2013-01-0829.51000022829.0599994
29.489999771118130.59000015258000000104 2013-01-0929.67000007630.5900001
30.280000686645531.29999923706000000095 2013-01-1030.60000038131.2999992
31.100000381469731.71999931335000000089 2013-01-1131.28000068631.7199993
30.620000839233430.95000076293000000098 2013-01-1432.08000183130.9500007
