0000001.238281250.011637519113000000000 1962-02-2800000000000001.2421875
000001.2480468750.011747309938000000000 1962-03-010000000000001.25390625
000001.2402343750.011655820533000000000 1962-03-020000000000001.24414062
000001.2402343750.011674120090000000000 1962-03-050000000000001.24609375
000001.2363281250.011710715480000000000 1962-03-060000000000000000001.25
000001.2441406250.011710715480000000000 1962-03-070000000000000000001.25
000001.2519531250.011857101693000000000 1962-03-08000000000000001.265625
000001.2675781250.011911985464000000000 1962-03-090000000000001.27148437
0000001.269531250.011966884136000000000 1962-03-120000000000001.27734375
000001.2792968750.012040077708000000000 1962-03-130000000000001.28515625
00000001.28906250.012277946807000000000 1962-03-140000000000001.31054687
000000001.2968750.012186460196000000000 1962-03-150000000000001.30078125
000001.2871093750.012131559662000000000 1962-03-160000000000001.29492187
0000001.285156250.012076675891000000000 1962-03-1900000000000001.2890625
000001.2871093750.012094973586000000000 1962-03-200000000000001.29101562
000001.2910156250.012223059311000000000 1962-03-2100000000000001.3046875
0000001.308593750.012479228898000000000 1962-03-220000000000001.33203125
0000001.324218750.012479228898000000000 1962-03-230000000000001.33203125
0000001.300781250.012186460196000000000 1962-03-260000000000001.30078125
0000001.300781250.012186460196000000000 1962-03-270000000000001.30078125
0000001.308593750.012442627921000000000 1962-03-28000000000000001.328125
000001.3261718750.012515821494000000000 1962-03-2900000000000001.3359375
0000001.332031250.012552420608000000000 1962-03-300000000000001.33984375
000001.3300781250.012460925616000000000 1962-04-020000000000001.33007812
0000001.308593750.012296260334000000000 1962-04-0300000000000000001.3125
000001.3066406250.012259648181000000000 1962-04-040000000000001.30859375
00000001.32031250.012479228898000000000 1962-04-050000000000001.33203125
000000001.3281250.012442627921000000000 1962-04-06000000000000001.328125
0000001.308593750.012351142242000000000 1962-04-090000000000001.31835937
00000001.30468750.012351142242000000000 1962-04-100000000000001.31835937
000001.3222656250.012406028807000000000 1962-04-110000000000001.32421875
00000000001.31250.012296260334000000000 1962-04-1200000000000000001.3125
0000001.300781250.012277946807000000000 1962-04-130000000000001.31054687
0000001.300781250.012277965433000000000 1962-04-1600000000000001.3046875
00000001.30468750.012277965433000000000 1962-04-1700000000000001.3046875
00000001.30468750.012314716354000000000 1962-04-180000000000001.30859375
0000001.308593750.012351483106000000000 1962-04-1900000000000000001.3125
0000001.316406250.012461747042000000000 1962-04-230000000000001.32421875
00000001.30468750.012277965433000000000 1962-04-2400000000000001.3046875
00000001.30468750.012333096005000000000 1962-04-250000000000001.31054687
00000001.28906250.012167673557000000000 1962-04-260000000000001.29296875
000001.2792968750.012057404965000000000 1962-04-270000000000000001.28125
0000000000001.250.011873601004000000000 1962-04-300000000000001.26171875
000000001.2343750.011800077743000000000 1962-05-010000000000001.25390625
0000001.238281250.011726552620000000000 1962-05-020000000000001.24609375
0000000000001.250.011910351924000000000 1962-05-03000000000000001.265625
0000001.253906250.011910351924000000000 1962-05-04000000000000001.265625
0000001.269531250.012094150297000000000 1962-05-070000000000001.28515625
00000001.25781250.011836831457000000000 1962-05-0800000000000001.2578125
0000000000001.250.011781686916000000000 1962-05-090000000000001.25195312
000001.2363281250.011671413667000000000 1962-05-100000000000001.24023437
00000001.19531250.011303802020000000000 1962-05-110000000000001.20117187
0000001.136718750.011285422369000000000 1962-05-140000000000001.19921875
0000000001.218750.011597884818000000000 1962-05-150000000000001.23242187
0000001.230468750.011579513549000000000 1962-05-160000000000001.23046875
000000001.2031250.011395704001000000000 1962-05-1700000000000001.2109375
0000001.199218750.011395704001000000000 1962-05-1800000000000001.2109375
0000001.207031250.011524366214000000000 1962-05-210000000000001.22460937
0000001.199218750.011285422369000000000 1962-05-220000000000001.19921875
000000001.1718750.011028101667000000000 1962-05-23000000000000001.171875
0000001.160156250.010936204344000000000 1962-05-240000000000001.16210937
0000001.128906250.010844294913000000000 1962-05-250000000000001.15234375
00000001.07031250.010292901657000000000 1962-05-280000000000000001.09375
0000001.003906250.010292901657000000001 1962-05-290000000000000001.09375
0000001.128906250.010660503990000000000 1962-05-3100000000000001.1328125
000001.1113281250.010476697236000000000 1962-06-010000000000001.11328125
0000001.074218750.010145854204000000000 1962-06-04000000000000001.078125
0000001.066406250.010035578161000000000 1962-06-050000000000001.06640625
000001.0722656250.010182609781000000000 1962-06-060000000000001.08203125
000001.0761718750.010274511761000000000 1962-06-070000000000001.09179687
0000001.082031250.010237758047000000000 1962-06-080000000000001.08789062
000001.0722656250.010145854204000000000 1962-06-11000000000000001.078125
00000001.02343750.009631205350000000000 1962-06-1200000000000001.0234375
00000000000000010.009410653263000000000 1962-06-130000000000000000000001
0000000000.968750.009116566739000000000 1962-06-140000000000000000.96875
00000000.96093750.009539311751000000001 1962-06-150000000000001.01367187
00000000.97656250.009557684883000000000 1962-06-18000000000000001.015625
0000000.980468750.009337127208000000000 1962-06-1900000000000000.9921875
000000000.9843750.009263608604000000000 1962-06-20000000000000000.984375
000000.9589843750.009024662896000000000 1962-06-210000000000000.95898437
000000.9316406250.008767344988000000000 1962-06-220000000000000.93164062
000000.8808593750.008748962543000000001 1962-06-2500000000000000.9296875
000000.9003906250.008601924404000000000 1962-06-2600000000000000.9140625
0000000.902343750.008583539165000000000 1962-06-270000000000000.91210937
0000000.933593750.009043043479000000000 1962-06-2800000000000000.9609375
0000000.972656250.009190090931000000000 1962-06-2900000000000000.9765625
0000000000.968750.009484172798000000000 1962-07-0200000000000001.0078125
00000001.00781250.009557684883000000000 1962-07-03000000000000001.015625
0000001.011718750.009576073847000000000 1962-07-050000000000001.01757812
0000000.988281250.009447410702000000000 1962-07-060000000000001.00390625
00000000.99218750.009520931169000000000 1962-07-090000000000001.01171875
000001.0214843750.009649591520000000000 1962-07-100000000000001.02539062
0000001.035156250.009815013967000000000 1962-07-110000000000001.04296875
000000001.0468750.009888534434000000000 1962-07-120000000000001.05078125
000001.0449218750.009998818859000000000 1962-07-1300000000000000001.0625
0000001.027343750.009925291873000000000 1962-07-1600000000000001.0546875
0000001.042968750.009888332337000000000 1962-07-170000000000001.04492187
000000001.0156250.009629572741000000000 1962-07-180000000000001.01757812
000000001.0156250.009611095301000000000 1962-07-19000000000000001.015625
000001.0175781250.009962266311000000000 1962-07-200000000000001.05273437
0000000001.031250.009888332337000000000 1962-07-230000000000001.04492187
00000001.03906250.009832884185000000000 1962-07-2400000000000001.0390625
000001.0332031250.009795923717000000000 1962-07-250000000000001.03515625
0000001.050781250.009980746544000000000 1962-07-2600000000000001.0546875
000000001.0468750.010128601454000000000 1962-07-2700000000000001.0703125
00000001.07031250.010294958949000000000 1962-07-300000000000001.08789062
000001.0839843750.010276476852000000000 1962-07-3100000000000001.0859375
0000001.074218750.010221025906000000000 1962-08-010000000000001.08007812
0000001.082031250.010350407101000000000 1962-08-020000000000000001.09375
000001.0878906250.010294958949000000000 1962-08-030000000000001.08789062
0000001.082031250.010239505209000000000 1962-08-060000000000001.08203125
0000001.066406250.010091646574000000000 1962-08-070000000000001.06640625
00000000001.06250.010128601454000000000 1962-08-0800000000000001.0703125
000001.0605468750.010036196559000000000 1962-08-090000000000001.06054687
000001.0644531250.010128601454000000000 1962-08-1000000000000001.0703125
000001.0644531250.010091646574000000000 1962-08-130000000000001.06640625
0000001.066406250.010184057056000000000 1962-08-140000000000001.07617187
000001.0800781250.010221025906000000000 1962-08-150000000000001.08007812
0000001.082031250.010276476852000000000 1962-08-1600000000000001.0859375
000001.0839843750.010257982648000000000 1962-08-170000000000001.08398437
000001.0839843750.010350407101000000000 1962-08-200000000000000001.09375
000001.0800781250.010276476852000000000 1962-08-2100000000000001.0859375
000000001.0781250.010350407101000000000 1962-08-220000000000000001.09375
0000000001.093750.010405864566000000000 1962-08-230000000000001.09960937
000001.0800781250.010313442908000000000 1962-08-240000000000001.08984375
0000001.082031250.010276476852000000000 1962-08-2700000000000001.0859375
00000001.07031250.010128601454000000000 1962-08-2800000000000001.0703125
000001.0644531250.010165574029000000000 1962-08-290000000000001.07421875
0000001.074218750.010184057056000000000 1962-08-300000000000001.07617187
00000001.07031250.010184057056000000000 1962-08-310000000000001.07617187
0000001.066406250.010091646574000000000 1962-09-040000000000001.06640625
0000001.035156250.009795923717000000000 1962-09-050000000000001.03515625
0000001.019531250.009740471839000000000 1962-09-060000000000001.02929687
0000000001.031250.009777437895000000000 1962-09-070000000000001.03320312
0000001.027343750.009832884185000000000 1962-09-1000000000000001.0390625
0000001.042968750.009943782351000000000 1962-09-110000000000001.05078125
000000001.0468750.009980746544000000000 1962-09-1200000000000001.0546875
00000001.03906250.009832884185000000000 1962-09-1300000000000001.0390625
00000001.02343750.009888332337000000000 1962-09-140000000000001.04492187
000000001.0468750.010054681450000000000 1962-09-1700000000000000001.0625
000001.0527343750.009962266311000000000 1962-09-180000000000001.05273437
000001.0488281250.009999232366000000000 1962-09-190000000000001.05664062
000001.0488281250.009925300255000000000 1962-09-200000000000001.04882812
000001.0097656250.009537157602000000000 1962-09-2100000000000001.0078125
000000.9667968750.009315358474000000000 1962-09-24000000000000000.984375
000000.9785156250.009315358474000000000 1962-09-25000000000000000.984375
000000000.9531250.009056604467000000000 1962-09-260000000000000.95703125
0000000.949218750.008982670493000000000 1962-09-270000000000000.94921875
000000.9472656250.009056604467000000000 1962-09-280000000000000.95703125
000000.9511718750.009019641205000000000 1962-10-01000000000000000.953125
000000000.9531250.009075088426000000000 1962-10-020000000000000.95898437
000000.9550781250.009130538441000000000 1962-10-030000000000000.96484375
000000.9628906250.009241435676000000000 1962-10-0400000000000000.9765625
000000.9746093750.009315358474000000000 1962-10-05000000000000000.984375
000000.9785156250.009315358474000000000 1962-10-08000000000000000.984375
0000000000.968750.009259912185000000000 1962-10-090000000000000.97851562
000000.9785156250.009315358474000000000 1962-10-10000000000000000.984375
000000.9785156250.009352326393000000000 1962-10-110000000000000.98828125
000000000.9843750.009333845227000000000 1962-10-120000000000000.98632812
000000.9863281250.009389292448000000000 1962-10-1500000000000000.9921875
000000.9902343750.009445079602000000000 1962-10-1600000000000000.9921875
00000000.96093750.009352116845000000000 1962-10-170000000000000.98242187
000000.9511718750.009073232300000000000 1962-10-18000000000000000.953125
00000000.94531250.009091827087000000000 1962-10-190000000000000.95507812
000000.9472656250.009129002690000000000 1962-10-220000000000000.95898437
000000.9394531250.008943079039000000000 1962-10-230000000000000.93945312
0000000.925781250.009073232300000000000 1962-10-24000000000000000.953125
0000000.941406250.008998858742000000000 1962-10-2500000000000000.9453125
000000.9394531250.008943079039000000000 1962-10-260000000000000.93945312
000000.9550781250.009091827087000000000 1962-10-290000000000000.95507812
