0.122209824621670.096418172121000000018 1981-05-060.12276785820.12220982
0.123883925378320.097738943994000000009 1981-05-070.12388392530.12388392
000000000000.1250.098619468510000000007 1981-05-0800000000.125000000.125
0.122209824621670.096418172121000000011 1981-05-110.12276785820.12220982
0.122209824621670.096418172121000000004 1981-05-120.12220982460.12220982
0.121651783585540.095977917313000000004 1981-05-130.12220982460.12165178
0.119977675378320.094657100737000000004 1981-05-14000.121093750.11997767
0.122767858207220.096858412027000000004 1981-05-150.12276785820.12276785
000000000000.1250.098619468510000000004 1981-05-1800000000.125000000.125
0.122767858207220.096858412027000000025 1981-05-190.12332589170.12276785
0.126674100756640.099940270185000000013 1981-05-200.12667410070.12667410
0.133928567171090.105663731694000000032 1981-05-210.13392856710.13392856
0.140066966414450.110506638884000000031 1981-05-220.14006696640.14006696
0.139508932828900.110066384077000000085 1981-05-260.14006696640.13950893
0.147321432828900.116230122745000000149 1981-05-270.14732143280.14732143
0.147321432828900.116230122745000000073 1981-05-280.14732143280.14732143
0.147879466414450.116670362651000000059 1981-05-290.14787946640.14787946
0.147879466414450.116670362651000000051 1981-06-010.14787946640.14787946
000000000.1406250.110946945846000000040 1981-06-020.1411830335000.140625
000000000.1406250.110946945846000000039 1981-06-0300000.140625000.140625
0.143415182828900.113148279488000000056 1981-06-040.14341518280.14341518
0.141183033585540.111387185752000000057 1981-06-050.14174106710.14118303
0.136160716414450.107424788177000000093 1981-06-08000.136718750.13616071
0.138950899243350.109626166522000000119 1981-06-090.13895089920.13895089
000000000.1406250.110946945846000000025 1981-06-1000000.140625000.140625
0.146763399243350.115789860486000000038 1981-06-110.14676339920.14676339
0.145089283585540.114469073712000000025 1981-06-120.14564731710.14508928
0000000.144531250.114028811454000000143 1981-06-150.14508928350.14453125
0.141741067171090.111827418208000000037 1981-06-160.14229910070.14174106
0.139508932828900.110066384077000000027 1981-06-170.14006696640.13950893
0.138950899243350.109626166522000000023 1981-06-180.13950893280.13895089
0.135044649243350.106544286012000000027 1981-06-190.13560268280.13504464
0.130022317171090.102581895887000000010 1981-06-220.13058035070.13002231
0.132254466414450.104342944920000000015 1981-06-230.13225446640.13225446
0000000.128906250.101701356470000000023 1981-06-240.13002231710.12890625
0.131696432828900.103902652859000000024 1981-06-250.13169643280.13169643
0.130022317171090.102581895887000000023 1981-06-260.13113839920.13002231
0.125558033585540.099059760570000000010 1981-06-290.12667410070.12555803
0.116071425378320.091575227677000000035 1981-06-300.11662946640.11607142
0.114955358207220.090694725513000000170 1981-07-010.11551339170.11495535
0.114955358207220.090694725513000000030 1981-07-020.11495535820.11495535
0.111049108207220.087612852454000000016 1981-07-060.11216517530.11104910
0.112165175378320.088493376970000000015 1981-07-070.11216517530.11216517
0.116629466414450.092015519738000000016 1981-07-080.11662946640.11662946
0.107700891792770.084971234202000000032 1981-07-090.10825892530.10770089
0.099330358207220.078367263078000000055 1981-07-100.09988839170.09933035
00000000.10156250.080128371715000000045 1981-07-130000.101562500.1015625
0.106026783585540.083650469779000000019 1981-07-140.10602678350.10602678
0.108816966414450.085851795971000000010 1981-07-150.10881696640.10881696
0.111607141792770.088053122162000000015 1981-07-160.11160714170.11160714
0.115513391792770.091134987771000000019 1981-07-170.11551339170.11551339
0.107700891792770.084971234202000000023 1981-07-200.10825892530.10770089
0.107142858207220.084531001746000000031 1981-07-210.10770089170.10714285
0.101004466414450.079688064754000000022 1981-07-220.10212053350.10100446
0.103794641792770.081889405846000000034 1981-07-230.10379464170.10379464
0.107142858207220.084531001746000000028 1981-07-240.10714285820.10714285
0.111607141792770.088053122162000000017 1981-07-270.11160714170.11160714
0.107700891792770.084971234202000000022 1981-07-280.10825892530.10770089
0.106026783585540.083650469779000000015 1981-07-290.10658482460.10602678
0.109933033585540.086732313036000000009 1981-07-300.10993303350.10993303
0.111607141792770.088053122162000000010 1981-07-310.11160714170.11160714
0.110491074621670.087172590196000000012 1981-08-030.11160714170.11049107
0.112165175378320.088493376970000000031 1981-08-040.11216517530.11216517
0.115513391792770.091134987771000000017 1981-08-050.11551339170.11551339
0.112723216414450.088933631777000000010 1981-08-06000.113281250.11272321
0.112723216414450.088933631777000000009 1981-08-070.11272321640.11272321
000000000.1093750.086292073130000000071 1981-08-110.1104910746000.109375
0.107142858207220.084531001746000000026 1981-08-120.10770089170.10714285
0.103794641792770.081889405846000000027 1981-08-130.10435267530.10379464
0.102120533585540.080568604171000000024 1981-08-140.10323660820.10212053
0.098772324621670.077927030622000000018 1981-08-170.09988839170.09877232
0.096540175378320.076165974140000000017 1981-08-18000.097656250.09654017
0.095424108207220.075285404920000000020 1981-08-190.09654017530.09542410
0.096540175378320.076165974140000000017 1981-08-200.09654017530.09654017
0000000.089843750.070882767438000000041 1981-08-210.09095982460.08984375
0.084263391792770.066480092704000000023 1981-08-240.08482142530.08426339
0.086495533585540.068241171538000000040 1981-08-250.08649553350.08649553
0.084821425378320.066920369863000000033 1981-08-260.08537946640.08482142
0.085379466414450.067360624670000000025 1981-08-270.08537946640.08537946
0000000.089843750.070882767438000000038 1981-08-28000.089843750.08984375
0000000.089843750.070882767438000000040 1981-08-31000.089843750.08984375
0.095424108207220.075285404920000000037 1981-09-010.09542410820.09542410
0.097098216414450.076606214046000000019 1981-09-020.09709821640.09709821
0.092075891792770.072643801569000000037 1981-09-030.09319196640.09207589
0.090959824621670.071763291954000000015 1981-09-040.09151785820.09095982
0.088169641792770.069561965763000000025 1981-09-080.08872767530.08816964
0.088169641792770.069561965763000000030 1981-09-090.08816964170.08816964
0.088727675378320.070002235472000000034 1981-09-100.08872767530.08872767
0.087611608207220.069121703505000000017 1981-09-110.08816964170.08761160
0.084821425378320.066920369863000000027 1981-09-140.08537946640.08482142
0.082589283585540.065159320831000000019 1981-09-150.08314732460.08258928
0.080915175378320.063838489353000000019 1981-09-160.08147321640.08091517
0.078683033585540.062077436596000000019 1981-09-170.07924107460.07868303
0.079241074621670.062517717480000000026 1981-09-180.07924107460.07924107
0.079799108207220.062957972288000000049 1981-09-210.07979910820.07979910
0.075334824621670.059435866773000000047 1981-09-220.07589285820.07533482
0.073660716414450.058115061372000000028 1981-09-230.07477678350.07366071
0.073102675378320.057674791663000000018 1981-09-240.07366071640.07310267
0.063616074621670.050190266221000000034 1981-09-250.06473214170.06361607
0.064174108207220.050630532205000000091 1981-09-280.06417410820.06417410
0.067522324621670.053272143006000000094 1981-09-290.06752232460.06752232
0.068080358207220.053712394088000000049 1981-09-300.06808035820.06808035
0.068080358207220.053712394088000000061 1981-10-010.06808035820.06808035
0.073660716414450.058115061372000000045 1981-10-020.07366071640.07366071
0.075892858207220.059876136481000000043 1981-10-050.07589285820.07589285
0.075334824621670.059435866773000000028 1981-10-060.07589285820.07533482
0.079799108207220.062957972288000000038 1981-10-070.07979910820.07979910
0.082589283585540.065159320831000000031 1981-10-080.08258928350.08258928
0.083147324621670.065599605441000000054 1981-10-090.08314732460.08314732
00000000.08593750.067800901830000000027 1981-10-120000.085937500.0859375
00000000.08593750.067800901830000000044 1981-10-130000.085937500.0859375
0.080915175378320.063838489353000000030 1981-10-140.08147321640.08091517
0.082589283585540.065159320831000000029 1981-10-150.08258928350.08258928
0.081473216414450.064278781414000000036 1981-10-16000.082031250.08147321
0.083147324621670.065599605441000000020 1981-10-190.08314732460.08314732
0.087611608207220.069121703505000000035 1981-10-200.08761160820.08761160
0.087611608207220.069121703505000000076 1981-10-210.08761160820.08761160
0.087053574621670.068681426346000000032 1981-10-220.08761160820.08705357
0.084821425378320.066920369863000000027 1981-10-230.08537946640.08482142
0.084821425378320.066920369863000000027 1981-10-260.08482142530.08482142
0.086495533585540.068241171538000000085 1981-10-270.08649553350.08649553
0.089285716414450.070442482829000000044 1981-10-280.08928571640.08928571
