00000000004.31250.327506363391000000000 1973-06-2700000000000000004.3125
000000004.2656250.323946714401000000000 1973-06-28000000000000004.265625
0000000004.281250.325133353471000000000 1973-06-290000000000000004.28125
00000000004.31250.327506363391000000000 1973-07-0200000000000000004.3125
000000004.2968750.326319903135000000000 1973-07-03000000000000004.296875
0000000004.281250.325133353471000000000 1973-07-050000000000000004.28125
0000000004.281250.325133353471000000000 1973-07-060000000000000004.28125
00000000004.31250.327506363391000000000 1973-07-0900000000000000004.3125
0000000004.343750.329879671335000000000 1973-07-100000000000000004.34375
000000004.3593750.331066220998000000000 1973-07-11000000000000004.359375
0000000004.343750.329879671335000000000 1973-07-120000000000000004.34375
000000000004.3750.332253098487000000000 1973-07-13000000000000000004.375
0000000004.406250.334626138210000000000 1973-07-160000000000000004.40625
00000000004.43750.336999416351000000000 1973-07-1700000000000000004.4375
00000000004.56250.346492499113000000000 1973-07-1800000000000000004.5625
000000004.8593750.369038105010000000000 1973-07-19000000000000004.859375
000000004.9843750.378530949354000000000 1973-07-20000000000000004.984375
00000000004.93750.374971002340000000000 1973-07-2300000000000000004.9375
0000000004.906250.372597813606000000000 1973-07-240000000000000004.90625
0000000004.906250.372597813606000000000 1973-07-250000000000000004.90625
0000000004.906250.372597813606000000000 1973-07-260000000000000004.90625
000000000004.8750.370224982500000000000 1973-07-27000000000000000004.875
0000000004.843750.367851465940000000000 1973-07-300000000000000004.84375
0000000004.843750.367851465940000000000 1973-07-310000000000000004.84375
0000000004.781250.363104969263000000000 1973-08-010000000000000004.78125
000000004.7031250.357172012329000000000 1973-08-02000000000000004.703125
000000004.7031250.357172012329000000000 1973-08-03000000000000004.703125
00000000004.68750.355985343456000000000 1973-08-0600000000000000004.6875
00000000004.68750.355985343456000000000 1973-08-0700000000000000004.6875
000000004.6406250.352425426244000000000 1973-08-08000000000000004.640625
00000000004.68750.355985343456000000000 1973-08-0900000000000000004.6875
000000004.7031250.357172012329000000000 1973-08-10000000000000004.703125
00000000004.68750.355985343456000000000 1973-08-1300000000000000004.6875
00000000004.68750.355985343456000000000 1973-08-1400000000000000004.6875
000000004.6718750.354798823595000000000 1973-08-15000000000000004.671875
000000004.6718750.354798823595000000000 1973-08-16000000000000004.671875
0000000004.718750.358358532190000000000 1973-08-170000000000000004.71875
0000000004.718750.358358532190000000000 1973-08-200000000000000004.71875
0000000004.718750.358358532190000000000 1973-08-210000000000000004.71875
0000000004.656250.353612124919000000000 1973-08-220000000000000004.65625
0000000004.656250.353612124919000000000 1973-08-230000000000000004.65625
000000004.6718750.354798823595000000000 1973-08-24000000000000004.671875
00000000004.68750.355985343456000000000 1973-08-2700000000000000004.6875
0000000000004.750.360731840133000000000 1973-08-280000000000000000004.75
00000000004.81250.365478307008000000000 1973-08-2900000000000000004.8125
0000000000004.750.360731840133000000000 1973-08-300000000000000000004.75
0000000004.781250.363104969263000000000 1973-08-310000000000000004.78125
000000004.7968750.364291667938000000000 1973-09-04000000000000004.796875
000000004.7656250.361918389797000000000 1973-09-05000000000000004.765625
0000000004.781250.363104969263000000000 1973-09-060000000000000004.78125
0000000004.843750.367851465940000000000 1973-09-070000000000000004.84375
000000000004.8750.370224982500000000000 1973-09-10000000000000000004.875
00000000004.81250.365478307008000000000 1973-09-1100000000000000004.8125
000000004.7968750.364291667938000000000 1973-09-12000000000000004.796875
00000000004.81250.365478307008000000000 1973-09-1300000000000000004.8125
00000000004.81250.365478307008000000000 1973-09-1400000000000000004.8125
0000000004.843750.367851465940000000000 1973-09-170000000000000004.84375
000000000004.8750.370224982500000000000 1973-09-18000000000000000004.875
00000000004.93750.374971002340000000000 1973-09-1900000000000000004.9375
000000004.9218750.373784482479000000000 1973-09-20000000000000004.921875
0000000004.906250.372597813606000000000 1973-09-210000000000000004.90625
0000000004.968750.377344429492000000000 1973-09-240000000000000004.96875
00000000004.93750.374971002340000000000 1973-09-2500000000000000004.9375
00000000004.93750.374971002340000000000 1973-09-2600000000000000004.9375
0000000004.906250.372597813606000000000 1973-09-270000000000000004.90625
0000000004.906250.372597813606000000000 1973-09-280000000000000004.90625
0000000004.906250.372597813606000000000 1973-10-010000000000000004.90625
000000004.9218750.373784482479000000000 1973-10-02000000000000004.921875
000000004.9218750.373784482479000000000 1973-10-03000000000000004.921875
000000004.9218750.373784482479000000000 1973-10-04000000000000004.921875
0000000004.906250.372597813606000000000 1973-10-050000000000000004.90625
0000000004.906250.372597813606000000000 1973-10-080000000000000004.90625
0000000004.906250.372597813606000000000 1973-10-090000000000000004.90625
000000004.9843750.378530949354000000000 1973-10-10000000000000004.984375
000000005.1093750.388023883104000000000 1973-10-11000000000000005.109375
00000000005.18750.393956840038000000000 1973-10-1200000000000000005.1875
0000000005.156250.391583740711000000000 1973-10-150000000000000005.15625
0000000005.156250.391583740711000000000 1973-10-160000000000000005.15625
000000005.1718750.392770498991000000000 1973-10-17000000000000005.171875
000000005.1718750.392770498991000000000 1973-10-18000000000000005.171875
0000000000005.250.398703515529000000000 1973-10-190000000000000000005.25
00000000005.18750.393956840038000000000 1973-10-2200000000000000005.1875
000000000005.1250.389210641384000000000 1973-10-23000000000000000005.125
0000000005.093750.386837542057000000000 1973-10-240000000000000005.09375
000000005.1093750.388023883104000000000 1973-10-25000000000000005.109375
000000000005.1250.389210641384000000000 1973-10-26000000000000000005.125
000000000005.1250.389210641384000000000 1973-10-29000000000000000005.125
000000004.9843750.378530949354000000000 1973-10-30000000000000004.984375
0000000004.906250.372597813606000000000 1973-10-310000000000000004.90625
000000000004.8750.370224982500000000000 1973-11-01000000000000000004.875
000000004.8593750.369038105010000000000 1973-11-02000000000000004.859375
000000004.8593750.369038105010000000000 1973-11-05000000000000004.859375
000000000004.8750.370224982500000000000 1973-11-06000000000000000004.875
00000000000000050.379717767238000000000 1973-11-070000000000000000000005
00000000005.06250.384464204311000000000 1973-11-0800000000000000005.0625
00000000005.06250.384464204311000000000 1973-11-0900000000000000005.0625
000000005.0468750.383277326822000000000 1973-11-12000000000000005.046875
000000005.0468750.383277326822000000000 1973-11-13000000000000005.046875
0000000004.968750.377344429492000000000 1973-11-140000000000000004.96875
000000004.9843750.378530949354000000000 1973-11-15000000000000004.984375
000000005.0156250.380904227495000000000 1973-11-16000000000000005.015625
00000000004.93750.374971002340000000000 1973-11-1900000000000000004.9375
000000004.7031250.357172012329000000000 1973-11-20000000000000004.703125
000000004.7968750.364291667938000000000 1973-11-21000000000000004.796875
0000000004.781250.363104969263000000000 1973-11-230000000000000004.78125
0000000004.781250.363104969263000000000 1973-11-260000000000000004.78125
000000004.7031250.357172012329000000000 1973-11-27000000000000004.703125
000000004.6718750.354798823595000000000 1973-11-28000000000000004.671875
0000000004.593750.348865479230000000000 1973-11-290000000000000004.59375
000000004.2968750.326319903135000000000 1973-11-30000000000000004.296875
0000000004.218750.320386797189000000000 1973-12-030000000000000004.21875
0000000000004.250.322760105133000000000 1973-12-040000000000000000004.25
0000000004.156250.315640181303000000000 1973-12-050000000000000004.15625
0000000004.281250.325133353471000000000 1973-12-060000000000000004.28125
0000000004.468750.339372724294000000000 1973-12-070000000000000004.46875
000000004.4531250.338186144828000000000 1973-12-10000000000000004.453125
00000000000004.50.341745913028000000000 1973-12-1100000000000000000004.5
000000004.4843750.340559244155000000000 1973-12-12000000000000004.484375
00000000004.43750.336999416351000000000 1973-12-1300000000000000004.4375
00000000004.43750.336999416351000000000 1973-12-1400000000000000004.4375
00000000004.31250.327506363391000000000 1973-12-1700000000000000004.3125
00000000004.31250.327506363391000000000 1973-12-1800000000000000004.3125
00000000004.31250.327506363391000000000 1973-12-1900000000000000004.3125
000000004.3281250.328693121671000000000 1973-12-20000000000000004.328125
000000004.3593750.331066220998000000000 1973-12-21000000000000004.359375
000000000004.3750.332253098487000000000 1973-12-24000000000000000004.375
000000004.5468750.345305919647000000000 1973-12-26000000000000004.546875
0000000004.718750.358358532190000000000 1973-12-270000000000000004.71875
000000004.8593750.369038105010000000000 1973-12-28000000000000004.859375
00000000004.93750.374971002340000000000 1973-12-3100000000000000004.9375
000000004.8906250.371411472558000000000 1974-01-02000000000000004.890625
0000000004.968750.377344429492000000000 1974-01-030000000000000004.96875
000000000004.8750.370224982500000000000 1974-01-04000000000000000004.875
000000004.7968750.364291667938000000000 1974-01-07000000000000004.796875
000000004.7343750.359545052051000000000 1974-01-08000000000000004.734375
000000004.6718750.354798823595000000000 1974-01-09000000000000004.671875
000000000004.3750.332253098487000000000 1974-01-10000000000000000004.375
000000004.2656250.323946714401000000000 1974-01-11000000000000004.265625
0000000004.343750.329879671335000000000 1974-01-140000000000000004.34375
0000000004.406250.334626138210000000000 1974-01-150000000000000004.40625
00000000004.56250.346492499113000000000 1974-01-1600000000000000004.5625
000000000004.6250.351238608360000000000 1974-01-17000000000000000004.625
00000000004.56250.346492499113000000000 1974-01-1800000000000000004.5625
00000000004.43750.336999416351000000000 1974-01-2100000000000000004.4375
0000000004.406250.334626138210000000000 1974-01-220000000000000004.40625
00000000004.31250.327506363391000000000 1974-01-2300000000000000004.3125
0000000004.281250.325133353471000000000 1974-01-240000000000000004.28125
000000004.3281250.328693121671000000000 1974-01-25000000000000004.328125
00000000004.31250.327506363391000000000 1974-01-2800000000000000004.3125
000000004.3593750.331066220998000000000 1974-01-29000000000000004.359375
000000004.3906250.333439558744000000000 1974-01-30000000000000004.390625
0000000004.343750.329879671335000000000 1974-01-310000000000000004.34375
0000000004.281250.325133353471000000000 1974-02-010000000000000004.28125
0000000004.218750.320386797189000000000 1974-02-040000000000000004.21875
000000004.1718750.316826939582000000000 1974-02-05000000000000004.171875
000000004.2031250.319200187921000000000 1974-02-06000000000000004.203125
0000000004.218750.320386797189000000000 1974-02-070000000000000004.21875
000000004.2031250.319200187921000000000 1974-02-08000000000000004.203125
0000000004.156250.315640181303000000000 1974-02-110000000000000004.15625
0000000004.093750.310893863439000000000 1974-02-120000000000000004.09375
0000000004.031250.306147545576000000000 1974-02-130000000000000004.03125
0000000004.031250.306147545576000000000 1974-02-140000000000000004.03125
000000004.0468750.307334035634000000000 1974-02-15000000000000004.046875
000000003.9843750.302587538957000000000 1974-02-19000000000000003.984375
0000000004.031250.306147545576000000000 1974-02-200000000000000004.03125
000000004.0156250.304960817098000000000 1974-02-21000000000000004.015625
0000000004.031250.306147545576000000000 1974-02-220000000000000004.03125
00000000000000040.303774029016000000000 1974-02-250000000000000000000004
000000003.9843750.302587538957000000000 1974-02-26000000000000003.984375
0000000003.968750.301400870084000000000 1974-02-270000000000000003.96875
000000003.9843750.302587538957000000000 1974-02-28000000000000003.984375
000000004.0156250.304960817098000000000 1974-03-01000000000000004.015625
00000000000000040.303774029016000000000 1974-03-040000000000000000000004
000000000004.1250.313267022371000000000 1974-03-05000000000000000004.125
000000004.1406250.314453721046000000000 1974-03-06000000000000004.140625
000000004.1718750.316826939582000000000 1974-03-07000000000000004.171875
0000000000004.250.322760105133000000000 1974-03-080000000000000000004.25
0000000004.218750.320386797189000000000 1974-03-110000000000000004.21875
0000000004.281250.325133353471000000000 1974-03-120000000000000004.28125
0000000004.593750.348865479230000000000 1974-03-130000000000000004.59375
0000000004.718750.358358532190000000000 1974-03-140000000000000004.71875
00000000004.68750.355985343456000000000 1974-03-1500000000000000004.6875
0000000004.593750.348865479230000000000 1974-03-180000000000000004.59375
00000000000004.50.341745913028000000000 1974-03-1900000000000000000004.5
0000000004.531250.344119071960000000000 1974-03-200000000000000004.53125
000000004.5156250.342932671308000000000 1974-03-21000000000000004.515625
00000000000004.50.341745913028000000000 1974-03-2200000000000000000004.5
00000000000004.50.341745913028000000000 1974-03-2500000000000000000004.5
